time,log_type,sat,time_s
2024-07-04 13:13:09.039,deploy_start,1-642,0.0
2024-07-04 13:14:01.685,deploy_complete,1-642,52.646
2024-07-04 13:14:01.690,switch_sensor46415,1-642,52.651
2024-07-04 13:14:01.689,switch_sensor46409,1-642,52.65
2024-07-04 13:14:01.693,switch_sensor21414,1-642,52.654
2024-07-04 13:14:01.692,switch_sensor46d16,1-642,52.653
2024-07-04 13:14:01.695,switch_sensor21416,1-642,52.656
2024-07-04 13:14:01.697,switch_sensor46413,1-642,52.658
2024-07-04 13:14:01.698,switch_sensor46414,1-642,52.659
2024-07-04 13:14:01.700,switch_sensor21d13,1-642,52.661
2024-07-04 13:14:01.702,switch_sensor21418,1-642,52.663
2024-07-04 13:14:01.705,switch_sensor46408,1-642,52.666
2024-07-04 13:14:01.703,switch_sensor21417,1-642,52.664
2024-07-04 13:14:01.707,switch_sensor46411,1-642,52.668
2024-07-04 13:14:01.708,switch_sensor46404,1-642,52.669
2024-07-04 13:14:01.710,switch_sensor46419,1-642,52.671
2024-07-04 13:14:01.712,switch_sensor46416,1-642,52.673
2024-07-04 13:14:01.715,switch_sensor46402,1-642,52.676
2024-07-04 13:14:01.715,switch_sensor46407,1-642,52.676
2024-07-04 13:14:01.717,switch_sensor46d02,1-642,52.678
2024-07-04 13:14:01.855,switch_sensor46452,1-642,52.816
2024-07-04 13:14:01.856,switch_sensor21419,1-642,52.817
2024-07-04 13:14:01.859,switch_sensor21415,1-642,52.82
2024-07-04 13:14:01.864,switch_sensor46490,1-642,52.825
2024-07-04 13:14:01.862,switch_sensor21413,1-642,52.823
2024-07-04 13:14:01.863,switch_sensor46d04,1-642,52.824
2024-07-04 13:14:01.867,switch_sensor46451,1-642,52.828
2024-07-04 13:14:01.869,switch_sensor46405,1-642,52.83
2024-07-04 13:14:01.870,switch_sensor46412,1-642,52.831
2024-07-04 13:14:01.861,switch_sensor46401,1-642,52.822
2024-07-04 13:14:01.873,switch_sensor46403,1-642,52.834
2024-07-04 13:14:01.977,switch_sensor46410,1-642,52.938
2024-07-04 13:14:29.933,deploy_start,1-663,80.894
2024-07-04 13:15:04.244,deploy_complete,1-663,115.205
2024-07-04 13:15:04.248,switch_sensor46415,1-663,115.209
2024-07-04 13:15:04.251,switch_sensor46409,1-663,115.212
2024-07-04 13:15:04.252,switch_sensor21416,1-663,115.213
2024-07-04 13:15:04.249,switch_sensor46d16,1-663,115.21
2024-07-04 13:15:04.254,switch_sensor46413,1-663,115.215
2024-07-04 13:15:04.250,switch_sensor21414,1-663,115.211
2024-07-04 13:15:04.256,switch_sensor46414,1-663,115.217
2024-07-04 13:15:04.258,switch_sensor21d13,1-663,115.219
2024-07-04 13:15:04.261,switch_sensor21417,1-663,115.222
2024-07-04 13:15:04.260,switch_sensor21418,1-663,115.221
2024-07-04 13:15:04.262,switch_sensor46408,1-663,115.223
2024-07-04 13:15:04.265,switch_sensor46404,1-663,115.226
2024-07-04 13:15:04.266,switch_sensor46419,1-663,115.227
2024-07-04 13:15:04.268,switch_sensor46416,1-663,115.229
2024-07-04 13:15:04.270,switch_sensor46402,1-663,115.231
2024-07-04 13:15:04.272,switch_sensor46407,1-663,115.233
2024-07-04 13:15:04.273,switch_sensor46d02,1-663,115.234
2024-07-04 13:15:04.397,switch_sensor46452,1-663,115.358
2024-07-04 13:15:04.398,switch_sensor21419,1-663,115.359
2024-07-04 13:15:04.401,switch_sensor21415,1-663,115.362
2024-07-04 13:15:04.399,switch_sensor46410,1-663,115.36
2024-07-04 13:15:04.404,switch_sensor46401,1-663,115.365
2024-07-04 13:15:04.407,switch_sensor46d04,1-663,115.368
2024-07-04 13:15:04.408,switch_sensor21413,1-663,115.369
2024-07-04 13:15:04.410,switch_sensor46451,1-663,115.371
2024-07-04 13:15:04.409,switch_sensor46405,1-663,115.37
2024-07-04 13:15:04.410,switch_sensor46490,1-663,115.371
2024-07-04 13:15:04.411,switch_sensor46412,1-663,115.372
2024-07-04 13:15:04.414,undeploy_start,1-642,115.375
2024-07-04 13:15:04.415,switch_sensor46403,1-663,115.376
2024-07-04 13:15:04.511,switch_sensor46411,1-663,115.472
2024-07-04 13:15:05.950,undeploy_complete,1-642,116.911
