time,log_type,sat,time_s
2024-07-04 14:53:48.984,deploy_start,1-685,0.0
2024-07-04 14:54:30.782,deploy_complete,1-685,41.798
2024-07-04 14:54:30.785,switch_sensor46404,1-685,41.801
2024-07-04 14:54:30.787,switch_sensor46402,1-685,41.803
2024-07-04 14:54:30.787,switch_sensor46409,1-685,41.803
2024-07-04 14:54:30.790,switch_sensor21415,1-685,41.806
2024-07-04 14:54:30.791,switch_sensor46401,1-685,41.807
2024-07-04 14:54:30.790,switch_sensor46411,1-685,41.806
2024-07-04 14:54:30.789,switch_sensor46490,1-685,41.805
2024-07-04 14:54:30.794,switch_sensor46419,1-685,41.81
2024-07-04 14:54:30.795,switch_sensor46413,1-685,41.811
2024-07-04 14:54:30.796,switch_sensor46407,1-685,41.812
2024-07-04 14:54:30.797,switch_sensor46415,1-685,41.813
2024-07-04 14:54:30.799,switch_sensor46d02,1-685,41.815
2024-07-04 14:54:30.799,switch_sensor46410,1-685,41.815
2024-07-04 14:54:30.801,switch_sensor21418,1-685,41.817
2024-07-04 14:54:30.802,switch_sensor21416,1-685,41.818
2024-07-04 14:54:30.803,switch_sensor46412,1-685,41.819
2024-07-04 14:54:30.804,switch_sensor46452,1-685,41.82
2024-07-04 14:54:30.903,switch_sensor21414,1-685,41.919
2024-07-04 14:54:30.903,switch_sensor21419,1-685,41.919
2024-07-04 14:54:30.904,switch_sensor46451,1-685,41.92
2024-07-04 14:54:30.907,switch_sensor46403,1-685,41.923
2024-07-04 14:54:30.905,switch_sensor46408,1-685,41.921
2024-07-04 14:54:30.910,switch_sensor21417,1-685,41.926
2024-07-04 14:54:30.908,switch_sensor21413,1-685,41.924
2024-07-04 14:54:30.912,switch_sensor46416,1-685,41.928
2024-07-04 14:54:30.911,switch_sensor46d16,1-685,41.927
2024-07-04 14:54:30.915,switch_sensor46d04,1-685,41.931
2024-07-04 14:54:30.916,switch_sensor46405,1-685,41.932
2024-07-04 14:54:30.914,switch_sensor46414,1-685,41.93
2024-07-04 14:54:30.994,switch_sensor21d13,1-685,42.01
2024-07-04 14:56:55.624,deploy_start,1-706,186.64
2024-07-04 14:57:32.833,deploy_complete,1-706,223.849
2024-07-04 14:57:32.838,switch_sensor46402,1-706,223.854
2024-07-04 14:57:32.836,switch_sensor46404,1-706,223.852
2024-07-04 14:57:32.840,switch_sensor46411,1-706,223.856
2024-07-04 14:57:32.839,switch_sensor46490,1-706,223.855
2024-07-04 14:57:32.843,switch_sensor46401,1-706,223.859
2024-07-04 14:57:32.842,switch_sensor46409,1-706,223.858
2024-07-04 14:57:32.844,switch_sensor46419,1-706,223.86
2024-07-04 14:57:32.842,switch_sensor21415,1-706,223.858
2024-07-04 14:57:32.847,switch_sensor46407,1-706,223.863
2024-07-04 14:57:32.846,switch_sensor46413,1-706,223.862
2024-07-04 14:57:32.848,switch_sensor46415,1-706,223.864
2024-07-04 14:57:32.850,switch_sensor46410,1-706,223.866
2024-07-04 14:57:32.852,switch_sensor21418,1-706,223.868
2024-07-04 14:57:32.854,switch_sensor21416,1-706,223.87
2024-07-04 14:57:32.851,switch_sensor46d02,1-706,223.867
2024-07-04 14:57:32.856,switch_sensor46412,1-706,223.872
2024-07-04 14:57:32.858,switch_sensor21414,1-706,223.874
2024-07-04 14:57:32.859,switch_sensor21419,1-706,223.875
2024-07-04 14:57:32.958,switch_sensor46451,1-706,223.974
2024-07-04 14:57:32.959,switch_sensor46408,1-706,223.975
2024-07-04 14:57:32.961,switch_sensor46452,1-706,223.977
2024-07-04 14:57:32.961,switch_sensor21413,1-706,223.977
2024-07-04 14:57:32.963,switch_sensor46403,1-706,223.979
2024-07-04 14:57:32.962,switch_sensor21417,1-706,223.978
2024-07-04 14:57:32.967,switch_sensor46414,1-706,223.983
2024-07-04 14:57:32.968,switch_sensor46d04,1-706,223.984
2024-07-04 14:57:32.969,switch_sensor46405,1-706,223.985
2024-07-04 14:57:32.965,switch_sensor46d16,1-706,223.981
2024-07-04 14:57:32.967,switch_sensor46416,1-706,223.983
2024-07-04 14:57:32.971,undeploy_start,1-685,223.987
2024-07-04 14:57:33.045,switch_sensor21d13,1-706,224.061
2024-07-04 14:57:36.526,undeploy_complete,1-685,227.542
2024-07-04 15:01:15.803,deploy_start,1-705,446.819
2024-07-04 15:01:33.355,deploy_complete,1-705,464.371
2024-07-04 15:01:33.359,switch_sensor46402,1-705,464.375
2024-07-04 15:01:33.360,switch_sensor46409,1-705,464.376
2024-07-04 15:01:33.362,switch_sensor46490,1-705,464.378
2024-07-04 15:01:33.358,switch_sensor46404,1-705,464.374
2024-07-04 15:01:33.364,switch_sensor46411,1-705,464.38
2024-07-04 15:01:33.365,switch_sensor21415,1-705,464.381
2024-07-04 15:01:33.368,switch_sensor46419,1-705,464.384
2024-07-04 15:01:33.366,switch_sensor46401,1-705,464.382
2024-07-04 15:01:33.369,switch_sensor46413,1-705,464.385
2024-07-04 15:01:33.371,switch_sensor46407,1-705,464.387
2024-07-04 15:01:33.372,switch_sensor46410,1-705,464.388
2024-07-04 15:01:33.374,switch_sensor46d02,1-705,464.39
2024-07-04 15:01:33.375,switch_sensor21418,1-705,464.391
2024-07-04 15:01:33.377,switch_sensor21416,1-705,464.393
2024-07-04 15:01:33.378,switch_sensor46412,1-705,464.394
2024-07-04 15:01:33.378,switch_sensor46415,1-705,464.394
2024-07-04 15:01:33.379,switch_sensor46452,1-705,464.395
2024-07-04 15:01:33.381,switch_sensor21414,1-705,464.397
2024-07-04 15:01:33.480,switch_sensor46451,1-705,464.496
2024-07-04 15:01:33.479,switch_sensor21419,1-705,464.495
2024-07-04 15:01:33.484,switch_sensor46403,1-705,464.5
2024-07-04 15:01:33.482,switch_sensor46408,1-705,464.498
2024-07-04 15:01:33.486,switch_sensor46d16,1-705,464.502
2024-07-04 15:01:33.485,switch_sensor21417,1-705,464.501
2024-07-04 15:01:33.488,switch_sensor46416,1-705,464.504
2024-07-04 15:01:33.489,switch_sensor46414,1-705,464.505
2024-07-04 15:01:33.490,switch_sensor46d04,1-705,464.506
2024-07-04 15:01:33.491,undeploy_start,1-706,464.507
2024-07-04 15:01:33.494,switch_sensor21413,1-705,464.51
2024-07-04 15:01:33.493,switch_sensor46405,1-705,464.509
2024-07-04 15:01:33.568,switch_sensor21d13,1-705,464.584
2024-07-04 15:01:34.986,undeploy_complete,1-706,466.002
2024-07-04 15:05:35.264,deploy_start,1-704,706.28
2024-07-04 15:06:13.374,deploy_complete,1-704,744.39
2024-07-04 15:06:13.377,switch_sensor46402,1-704,744.393
2024-07-04 15:06:13.378,switch_sensor46409,1-704,744.394
2024-07-04 15:06:13.377,switch_sensor46404,1-704,744.393
2024-07-04 15:06:13.380,switch_sensor46490,1-704,744.396
2024-07-04 15:06:13.381,switch_sensor46411,1-704,744.397
2024-07-04 15:06:13.384,switch_sensor46401,1-704,744.4
2024-07-04 15:06:13.383,switch_sensor21415,1-704,744.399
2024-07-04 15:06:13.385,switch_sensor46419,1-704,744.401
2024-07-04 15:06:13.387,switch_sensor46413,1-704,744.403
2024-07-04 15:06:13.388,switch_sensor46407,1-704,744.404
2024-07-04 15:06:13.390,switch_sensor46415,1-704,744.406
2024-07-04 15:06:13.392,switch_sensor46d02,1-704,744.408
2024-07-04 15:06:13.391,switch_sensor46410,1-704,744.407
2024-07-04 15:06:13.393,switch_sensor21418,1-704,744.409
2024-07-04 15:06:13.396,switch_sensor46412,1-704,744.412
2024-07-04 15:06:13.395,switch_sensor21416,1-704,744.411
