time,log_type,sat,time_s
2024-07-04 14:14:33.256,deploy_start,1-685,0.0
2024-07-04 14:15:14.283,deploy_complete,1-685,41.027
2024-07-04 14:15:14.289,switch_sensor46412,1-685,41.033
2024-07-04 14:15:14.290,switch_sensor46d04,1-685,41.034
2024-07-04 14:15:14.286,switch_sensor21413,1-685,41.03
2024-07-04 14:15:14.293,switch_sensor46401,1-685,41.037
2024-07-04 14:15:14.294,switch_sensor21415,1-685,41.038
2024-07-04 14:15:14.296,switch_sensor21414,1-685,41.04
2024-07-04 14:15:14.297,switch_sensor46402,1-685,41.041
2024-07-04 14:15:14.296,switch_sensor46405,1-685,41.04
2024-07-04 14:15:14.291,switch_sensor46451,1-685,41.035
2024-07-04 14:15:14.298,switch_sensor46452,1-685,41.042
2024-07-04 14:15:14.301,switch_sensor46410,1-685,41.045
2024-07-04 14:15:14.303,switch_sensor46411,1-685,41.047
2024-07-04 14:15:14.305,switch_sensor21416,1-685,41.049
2024-07-04 14:15:14.307,switch_sensor46413,1-685,41.051
2024-07-04 14:15:14.311,switch_sensor46409,1-685,41.055
2024-07-04 14:15:14.313,switch_sensor46404,1-685,41.057
2024-07-04 14:15:14.312,switch_sensor46415,1-685,41.056
2024-07-04 14:15:14.417,switch_sensor46490,1-685,41.161
2024-07-04 14:15:14.418,switch_sensor46419,1-685,41.162
2024-07-04 14:15:14.421,switch_sensor21419,1-685,41.165
2024-07-04 14:15:14.419,switch_sensor21418,1-685,41.163
2024-07-04 14:15:14.420,switch_sensor46d02,1-685,41.164
2024-07-04 14:15:14.424,switch_sensor46d16,1-685,41.168
2024-07-04 14:15:14.425,switch_sensor46408,1-685,41.169
2024-07-04 14:15:14.423,switch_sensor46414,1-685,41.167
2024-07-04 14:15:14.427,switch_sensor46407,1-685,41.171
2024-07-04 14:15:14.428,switch_sensor21417,1-685,41.172
2024-07-04 14:15:14.429,switch_sensor46416,1-685,41.173
2024-07-04 14:15:14.430,switch_sensor46403,1-685,41.174
2024-07-04 14:15:14.507,switch_sensor21d13,1-685,41.251
2024-07-04 14:17:46.271,deploy_start,1-706,193.015
2024-07-04 14:18:31.412,deploy_complete,1-706,238.156
2024-07-04 14:18:31.415,switch_sensor21413,1-706,238.159
2024-07-04 14:18:31.416,switch_sensor46401,1-706,238.16
2024-07-04 14:18:31.417,switch_sensor46412,1-706,238.161
2024-07-04 14:18:31.420,switch_sensor46451,1-706,238.164
2024-07-04 14:18:31.421,switch_sensor21415,1-706,238.165
2024-07-04 14:18:31.422,switch_sensor21d13,1-706,238.166
2024-07-04 14:18:31.424,switch_sensor21414,1-706,238.168
2024-07-04 14:18:31.424,switch_sensor46405,1-706,238.168
2024-07-04 14:18:31.426,switch_sensor46402,1-706,238.17
2024-07-04 14:18:31.428,switch_sensor46410,1-706,238.172
2024-07-04 14:18:31.429,switch_sensor46411,1-706,238.173
2024-07-04 14:18:31.434,switch_sensor46404,1-706,238.178
2024-07-04 14:18:31.435,switch_sensor46415,1-706,238.179
2024-07-04 14:18:31.533,switch_sensor46419,1-706,238.277
2024-07-04 14:18:31.433,switch_sensor46413,1-706,238.177
2024-07-04 14:18:31.434,switch_sensor46409,1-706,238.178
2024-07-04 14:18:31.435,switch_sensor46490,1-706,238.179
2024-07-04 14:18:31.436,switch_sensor46d02,1-706,238.18
2024-07-04 14:18:31.433,switch_sensor21418,1-706,238.177
2024-07-04 14:18:31.535,switch_sensor46452,1-706,238.279
2024-07-04 14:18:31.536,switch_sensor21416,1-706,238.28
2024-07-04 14:18:31.537,switch_sensor21419,1-706,238.281
2024-07-04 14:18:31.540,switch_sensor46d16,1-706,238.284
2024-07-04 14:18:31.541,switch_sensor46414,1-706,238.285
2024-07-04 14:18:31.544,switch_sensor46408,1-706,238.288
2024-07-04 14:18:31.545,switch_sensor21417,1-706,238.289
2024-07-04 14:18:31.547,switch_sensor46416,1-706,238.291
2024-07-04 14:18:31.548,switch_sensor46403,1-706,238.292
2024-07-04 14:18:31.547,undeploy_start,1-685,238.291
2024-07-04 14:18:31.549,switch_sensor46407,1-706,238.293
2024-07-04 14:18:31.419,switch_sensor46d04,1-706,238.163
2024-07-04 14:18:33.033,undeploy_complete,1-685,239.777
