time,client,sat,distance,time_s
2024-07-05 13:04:08.448,sensor46410',1-685,3244.0,51.717
2024-07-05 13:04:08.448,sensor46451',1-685,8514.0,51.717
2024-07-05 13:04:08.449,sensor46412',1-685,17433.0,51.718
2024-07-05 13:04:08.449,sensor21417',1-685,15423.0,51.718
2024-07-05 13:04:08.450,sensor46416',1-685,4461.0,51.719
2024-07-05 13:04:08.450,sensor46414',1-685,2076.0,51.719
2024-07-05 13:04:08.537,sensor46405',1-685,9137.0,51.806
2024-07-05 13:04:08.538,sensor46d04',1-685,7433.0,51.807
2024-07-05 13:04:08.538,sensor46490',1-685,17393.0,51.807
2024-07-05 13:04:10.952,sensor21414',1-685,8283.0,54.221
2024-07-05 13:04:10.953,sensor46411',1-685,9813.0,54.222
2024-07-05 13:04:10.954,sensor46402',1-685,4010.0,54.223
2024-07-05 13:04:10.954,sensor46415',1-685,3234.0,54.223
2024-07-05 13:04:10.955,sensor21416',1-685,12363.0,54.224
2024-07-05 13:04:10.955,sensor21d13',1-685,25515.0,54.224
2024-07-05 13:04:10.955,sensor46413',1-685,6615.0,54.224
2024-07-05 13:04:10.956,sensor46409',1-685,2743.0,54.225
2024-07-05 13:04:10.956,sensor46419',1-685,6212.0,54.225
2024-07-05 13:04:10.956,sensor46401',1-685,6755.0,54.225
2024-07-05 13:04:10.957,sensor21418',1-685,23174.0,54.226
2024-07-05 13:04:10.958,sensor46d16',1-685,4466.0,54.227
2024-07-05 13:04:10.958,sensor21419',1-685,15156.0,54.227
2024-07-05 13:04:10.958,sensor46407',1-685,8800.0,54.227
2024-07-05 13:04:10.959,sensor46408',1-685,5283.0,54.228
2024-07-05 13:04:10.959,sensor46d02',1-685,4019.0,54.228
2024-07-05 13:04:10.959,sensor46404',1-685,7446.0,54.228
2024-07-05 13:04:10.960,sensor21413',1-685,25513.0,54.229
2024-07-05 13:04:10.960,sensor46452',1-685,8511.0,54.229
2024-07-05 13:04:10.961,sensor46403',1-685,2321.0,54.23
2024-07-05 13:04:10.961,sensor21415',1-685,10009.0,54.23
2024-07-05 13:04:10.962,sensor46410',1-685,3244.0,54.231
2024-07-05 13:04:10.962,sensor46451',1-685,8514.0,54.231
2024-07-05 13:04:10.962,sensor46412',1-685,17433.0,54.231
2024-07-05 13:04:10.963,sensor21417',1-685,15423.0,54.232
2024-07-05 13:04:10.963,sensor46416',1-685,4461.0,54.232
2024-07-05 13:04:10.964,sensor46414',1-685,2076.0,54.233
2024-07-05 13:04:11.050,sensor46405',1-685,9137.0,54.319
2024-07-05 13:04:11.051,sensor46d04',1-685,7433.0,54.32
2024-07-05 13:04:11.051,sensor46490',1-685,17393.0,54.32
2024-07-05 13:04:13.397,sensor21414',1-685,8283.0,56.666
2024-07-05 13:04:13.401,sensor46411',1-685,9813.0,56.67
2024-07-05 13:04:13.406,sensor46402',1-685,4010.0,56.675
2024-07-05 13:04:13.410,sensor46415',1-685,3234.0,56.679
2024-07-05 13:04:13.415,sensor21416',1-685,12564.0,56.684
2024-07-05 13:04:13.419,sensor21d13',1-685,25515.0,56.688
2024-07-05 13:04:13.423,sensor46413',1-685,6615.0,56.692
2024-07-05 13:04:13.429,sensor46409',1-685,2743.0,56.698
2024-07-05 13:04:13.433,sensor46419',1-685,6212.0,56.702
2024-07-05 13:04:13.438,sensor46401',1-685,6755.0,56.707
2024-07-05 13:04:13.443,sensor21418',1-685,23174.0,56.712
2024-07-05 13:04:13.447,sensor46d16',1-685,4466.0,56.716
2024-07-05 13:04:13.452,sensor21419',1-685,15156.0,56.721
2024-07-05 13:04:13.457,sensor46407',1-685,8800.0,56.726
2024-07-05 13:04:13.462,sensor46408',1-685,5283.0,56.731
2024-07-05 13:04:13.467,sensor46d02',1-685,4019.0,56.736
2024-07-05 13:04:13.471,sensor46404',1-685,7446.0,56.74
2024-07-05 13:04:13.476,sensor21413',1-685,25513.0,56.745
2024-07-05 13:04:13.480,sensor46452',1-685,8511.0,56.749
2024-07-05 13:04:13.485,sensor46403',1-685,2321.0,56.754
2024-07-05 13:04:13.489,sensor21415',1-685,10009.0,56.758
2024-07-05 13:04:13.494,sensor46410',1-685,3244.0,56.763
2024-07-05 13:04:13.498,sensor46451',1-685,8514.0,56.767
2024-07-05 13:04:13.502,sensor46412',1-685,17433.0,56.771
2024-07-05 13:04:13.506,sensor21417',1-685,15423.0,56.775
2024-07-05 13:04:13.511,sensor46416',1-685,4461.0,56.78
2024-07-05 13:04:13.515,sensor46414',1-685,2076.0,56.784
2024-07-05 13:04:13.519,sensor46405',1-685,9137.0,56.788
2024-07-05 13:04:13.523,sensor46d04',1-685,7433.0,56.792
2024-07-05 13:04:13.528,sensor46490',1-685,17393.0,56.797
2024-07-05 13:04:15.836,sensor21414',1-685,8283.0,59.105
2024-07-05 13:04:15.837,sensor46411',1-685,9813.0,59.106
2024-07-05 13:04:15.838,sensor46402',1-685,4010.0,59.107
2024-07-05 13:04:15.838,sensor46415',1-685,3234.0,59.107
2024-07-05 13:04:15.838,sensor21416',1-685,12564.0,59.107
2024-07-05 13:04:15.839,sensor21d13',1-685,25515.0,59.108
2024-07-05 13:04:15.839,sensor46413',1-685,6615.0,59.108
2024-07-05 13:04:15.840,sensor46409',1-685,2743.0,59.109
2024-07-05 13:04:15.840,sensor46419',1-685,5696.0,59.109
2024-07-05 13:04:15.840,sensor46401',1-685,6755.0,59.109
2024-07-05 13:04:15.841,sensor21418',1-685,23174.0,59.11
2024-07-05 13:04:15.841,sensor46d16',1-685,4466.0,59.11
2024-07-05 13:04:15.841,sensor21419',1-685,15156.0,59.11
2024-07-05 13:04:15.842,sensor46407',1-685,8800.0,59.111
2024-07-05 13:04:15.842,sensor46408',1-685,5283.0,59.111
2024-07-05 13:04:15.843,sensor46d02',1-685,4019.0,59.112
2024-07-05 13:04:15.843,sensor46404',1-685,6941.0,59.112
2024-07-05 13:04:15.843,sensor21413',1-685,25513.0,59.112
2024-07-05 13:04:15.844,sensor46452',1-685,8511.0,59.113
2024-07-05 13:04:15.844,sensor46403',1-685,2321.0,59.113
2024-07-05 13:04:15.844,sensor21415',1-685,10009.0,59.113
2024-07-05 13:04:15.845,sensor46410',1-685,3244.0,59.114
2024-07-05 13:04:15.845,sensor46451',1-685,8514.0,59.114
2024-07-05 13:04:15.846,sensor46412',1-685,17433.0,59.115
2024-07-05 13:04:15.846,sensor21417',1-685,15423.0,59.115
2024-07-05 13:04:15.846,sensor46416',1-685,4461.0,59.115
2024-07-05 13:04:15.847,sensor46414',1-685,2076.0,59.116
2024-07-05 13:04:15.933,sensor46405',1-685,9137.0,59.202
2024-07-05 13:04:15.933,sensor46d04',1-685,6920.0,59.202
2024-07-05 13:04:15.933,sensor46490',1-685,17393.0,59.202
2024-07-05 13:04:18.146,sensor21414',1-685,9064.0,61.415
2024-07-05 13:04:18.147,sensor46411',1-685,9813.0,61.416
2024-07-05 13:04:18.147,sensor46402',1-685,4010.0,61.416
2024-07-05 13:04:18.147,sensor46415',1-685,3234.0,61.416
2024-07-05 13:04:18.148,sensor21416',1-685,12564.0,61.417
2024-07-05 13:04:18.148,sensor21d13',1-685,25515.0,61.417
2024-07-05 13:04:18.148,sensor46413',1-685,6615.0,61.417
2024-07-05 13:04:18.149,sensor46409',1-685,2743.0,61.418
2024-07-05 13:04:18.149,sensor46419',1-685,5696.0,61.418
2024-07-05 13:04:18.149,sensor46401',1-685,6755.0,61.418
2024-07-05 13:04:18.150,sensor21418',1-685,23174.0,61.419
2024-07-05 13:04:18.150,sensor46d16',1-685,4466.0,61.419
2024-07-05 13:04:18.150,sensor21419',1-685,15156.0,61.419
2024-07-05 13:04:18.151,sensor46407',1-685,8800.0,61.42
2024-07-05 13:04:18.151,sensor46408',1-685,5793.0,61.42
2024-07-05 13:04:18.151,sensor46d02',1-685,4019.0,61.42
2024-07-05 13:04:18.152,sensor46404',1-685,6941.0,61.421
2024-07-05 13:04:18.152,sensor21413',1-685,25513.0,61.421
2024-07-05 13:04:18.153,sensor46452',1-685,8511.0,61.422
2024-07-05 13:04:18.153,sensor46403',1-685,2321.0,61.422
2024-07-05 13:04:18.154,sensor21415',1-685,10009.0,61.423
2024-07-05 13:04:18.154,sensor46410',1-685,3244.0,61.423
2024-07-05 13:04:18.154,sensor46451',1-685,8514.0,61.423
2024-07-05 13:04:18.155,sensor46412',1-685,17433.0,61.424
2024-07-05 13:04:18.155,sensor21417',1-685,15423.0,61.424
2024-07-05 13:04:18.155,sensor46416',1-685,4461.0,61.424
2024-07-05 13:04:18.156,sensor46414',1-685,2076.0,61.425
2024-07-05 13:04:18.242,sensor46405',1-685,9137.0,61.511
2024-07-05 13:04:18.242,sensor46d04',1-685,6920.0,61.511
2024-07-05 13:04:18.242,sensor46490',1-685,17393.0,61.511
2024-07-05 13:04:20.487,sensor21414',1-685,9064.0,63.756
2024-07-05 13:04:20.488,sensor46411',1-685,9813.0,63.757
2024-07-05 13:04:20.489,sensor46402',1-685,4010.0,63.758
2024-07-05 13:04:20.489,sensor46415',1-685,3234.0,63.758
2024-07-05 13:04:20.490,sensor21416',1-685,12564.0,63.759
2024-07-05 13:04:20.490,sensor21d13',1-685,25515.0,63.759
2024-07-05 13:04:20.490,sensor46413',1-685,7116.0,63.759
2024-07-05 13:04:20.491,sensor46409',1-685,2743.0,63.76
2024-07-05 13:04:20.491,sensor46419',1-685,5696.0,63.76
2024-07-05 13:04:20.491,sensor46401',1-685,6755.0,63.76
2024-07-05 13:04:20.492,sensor21418',1-685,23174.0,63.761
2024-07-05 13:04:20.492,sensor46d16',1-685,4466.0,63.761
2024-07-05 13:04:20.492,sensor21419',1-685,15667.0,63.761
2024-07-05 13:04:20.493,sensor46407',1-685,8800.0,63.762
2024-07-05 13:04:20.494,sensor46408',1-685,5793.0,63.763
2024-07-05 13:04:20.494,sensor46d02',1-685,4019.0,63.763
2024-07-05 13:04:20.494,sensor46404',1-685,6941.0,63.763
2024-07-05 13:04:20.495,sensor21413',1-685,25513.0,63.764
2024-07-05 13:04:20.495,sensor46452',1-685,8511.0,63.764
2024-07-05 13:04:20.495,sensor46403',1-685,2321.0,63.764
2024-07-05 13:04:20.496,sensor21415',1-685,10009.0,63.765
2024-07-05 13:04:20.496,sensor46410',1-685,3244.0,63.765
2024-07-05 13:04:20.496,sensor46451',1-685,8514.0,63.765
2024-07-05 13:04:20.497,sensor46412',1-685,17433.0,63.766
2024-07-05 13:04:20.497,sensor21417',1-685,15423.0,63.766
2024-07-05 13:04:20.498,sensor46416',1-685,4461.0,63.767
2024-07-05 13:04:20.498,sensor46414',1-685,2076.0,63.767
2024-07-05 13:04:20.584,sensor46405',1-685,9137.0,63.853
2024-07-05 13:04:20.584,sensor46d04',1-685,6920.0,63.853
2024-07-05 13:04:20.584,sensor46490',1-685,17393.0,63.853
2024-07-05 13:04:22.753,sensor21414',1-685,9064.0,66.022
2024-07-05 13:04:22.753,sensor46411',1-685,9813.0,66.022
2024-07-05 13:04:22.754,sensor46402',1-685,4010.0,66.023
2024-07-05 13:04:22.754,sensor46415',1-685,3234.0,66.023
2024-07-05 13:04:22.754,sensor21416',1-685,12564.0,66.023
2024-07-05 13:04:22.755,sensor21d13',1-685,33447.0,66.024
2024-07-05 13:04:22.755,sensor46413',1-685,7116.0,66.024
2024-07-05 13:04:22.756,sensor46409',1-685,2743.0,66.025
2024-07-05 13:04:22.756,sensor46419',1-685,5696.0,66.025
2024-07-05 13:04:22.756,sensor46401',1-685,6755.0,66.025
2024-07-05 13:04:22.757,sensor21418',1-685,23174.0,66.026
2024-07-05 13:04:22.757,sensor46d16',1-685,4466.0,66.026
2024-07-05 13:04:22.758,sensor21419',1-685,15667.0,66.027
2024-07-05 13:04:22.758,sensor46407',1-685,8800.0,66.027
2024-07-05 13:04:22.758,sensor46408',1-685,5793.0,66.027
2024-07-05 13:04:22.759,sensor46d02',1-685,4019.0,66.028
2024-07-05 13:04:22.759,sensor46404',1-685,6941.0,66.028
2024-07-05 13:04:22.759,sensor21413',1-685,33443.0,66.028
2024-07-05 13:04:22.760,sensor46452',1-685,7493.0,66.029
2024-07-05 13:04:22.760,sensor46403',1-685,2321.0,66.029
2024-07-05 13:04:22.761,sensor21415',1-685,10009.0,66.03
2024-07-05 13:04:22.761,sensor46410',1-685,3244.0,66.03
2024-07-05 13:04:22.762,sensor46451',1-685,7481.0,66.031
2024-07-05 13:04:22.762,sensor46412',1-685,17433.0,66.031
2024-07-05 13:04:22.762,sensor21417',1-685,15423.0,66.031
2024-07-05 13:04:22.763,sensor46416',1-685,4461.0,66.032
2024-07-05 13:04:22.763,sensor46414',1-685,2076.0,66.032
2024-07-05 13:04:22.849,sensor46405',1-685,9137.0,66.118
2024-07-05 13:04:22.849,sensor46d04',1-685,6920.0,66.118
2024-07-05 13:04:22.849,sensor46490',1-685,17393.0,66.118
2024-07-05 13:04:25.133,sensor21414',1-685,9064.0,68.402
2024-07-05 13:04:25.134,sensor46411',1-685,9813.0,68.403
2024-07-05 13:04:25.134,sensor46402',1-685,4010.0,68.403
2024-07-05 13:04:25.135,sensor46415',1-685,3234.0,68.404
2024-07-05 13:04:25.135,sensor21416',1-685,13033.0,68.404
2024-07-05 13:04:25.135,sensor21d13',1-685,33447.0,68.404
2024-07-05 13:04:25.135,sensor46413',1-685,7116.0,68.404
2024-07-05 13:04:25.136,sensor46409',1-685,2743.0,68.405
2024-07-05 13:04:25.136,sensor46419',1-685,5696.0,68.405
2024-07-05 13:04:25.136,sensor46401',1-685,6755.0,68.405
2024-07-05 13:04:25.137,sensor21418',1-685,23174.0,68.406
2024-07-05 13:04:25.137,sensor46d16',1-685,4466.0,68.406
2024-07-05 13:04:25.138,sensor21419',1-685,15667.0,68.407
2024-07-05 13:04:25.138,sensor46407',1-685,8800.0,68.407
2024-07-05 13:04:25.138,sensor46408',1-685,5793.0,68.407
2024-07-05 13:04:25.139,sensor46d02',1-685,4019.0,68.408
2024-07-05 13:04:25.139,sensor46404',1-685,6233.0,68.408
2024-07-05 13:04:25.139,sensor21413',1-685,33443.0,68.408
2024-07-05 13:04:25.140,sensor46452',1-685,7493.0,68.409
2024-07-05 13:04:25.140,sensor46403',1-685,2321.0,68.409
2024-07-05 13:04:25.140,sensor21415',1-685,10577.0,68.409
