time,log_type,sat,time_s
2024-07-05 13:03:16.731,deploy_start,1-685,0.0
2024-07-05 13:04:01.603,deploy_complete,1-685,44.872
2024-07-05 13:04:01.605,switch_sensor21414,1-685,44.874
2024-07-05 13:04:01.607,switch_sensor46402,1-685,44.876
2024-07-05 13:04:01.608,switch_sensor46415,1-685,44.877
2024-07-05 13:04:01.609,switch_sensor21416,1-685,44.878
2024-07-05 13:04:01.610,switch_sensor21d13,1-685,44.879
2024-07-05 13:04:01.611,switch_sensor46413,1-685,44.88
2024-07-05 13:04:01.612,switch_sensor46409,1-685,44.881
2024-07-05 13:04:01.614,switch_sensor46419,1-685,44.883
2024-07-05 13:04:01.616,switch_sensor21418,1-685,44.885
2024-07-05 13:04:01.615,switch_sensor46401,1-685,44.884
2024-07-05 13:04:01.617,switch_sensor46d16,1-685,44.886
2024-07-05 13:04:01.618,switch_sensor21419,1-685,44.887
2024-07-05 13:04:01.620,switch_sensor46408,1-685,44.889
2024-07-05 13:04:01.619,switch_sensor46407,1-685,44.888
2024-07-05 13:04:01.622,switch_sensor46d02,1-685,44.891
2024-07-05 13:04:01.623,switch_sensor46404,1-685,44.892
2024-07-05 13:04:01.624,switch_sensor21413,1-685,44.893
2024-07-05 13:04:01.625,switch_sensor46452,1-685,44.894
2024-07-05 13:04:01.712,switch_sensor21415,1-685,44.981
2024-07-05 13:04:01.714,switch_sensor46410,1-685,44.983
2024-07-05 13:04:01.711,switch_sensor46403,1-685,44.98
2024-07-05 13:04:01.715,switch_sensor46451,1-685,44.984
2024-07-05 13:04:01.716,switch_sensor46412,1-685,44.985
2024-07-05 13:04:01.717,switch_sensor21417,1-685,44.986
2024-07-05 13:04:01.719,switch_sensor46414,1-685,44.988
2024-07-05 13:04:01.718,switch_sensor46416,1-685,44.987
2024-07-05 13:04:01.720,switch_sensor46405,1-685,44.989
2024-07-05 13:04:01.722,switch_sensor46d04,1-685,44.991
2024-07-05 13:04:01.723,switch_sensor46490,1-685,44.992
2024-07-05 13:04:01.788,switch_sensor46411,1-685,45.057
2024-07-05 13:06:23.210,deploy_start,1-706,186.479
2024-07-05 13:07:07.702,deploy_complete,1-706,230.971
2024-07-05 13:07:07.703,switch_sensor21414,1-706,230.972
2024-07-05 13:07:07.704,switch_sensor46411,1-706,230.973
2024-07-05 13:07:07.706,switch_sensor46402,1-706,230.975
2024-07-05 13:07:07.708,switch_sensor21416,1-706,230.977
2024-07-05 13:07:07.707,switch_sensor46415,1-706,230.976
2024-07-05 13:07:07.709,switch_sensor21d13,1-706,230.978
2024-07-05 13:07:07.711,switch_sensor46409,1-706,230.98
2024-07-05 13:07:07.712,switch_sensor46419,1-706,230.981
2024-07-05 13:07:07.713,switch_sensor46401,1-706,230.982
2024-07-05 13:07:07.715,switch_sensor46d16,1-706,230.984
2024-07-05 13:07:07.714,switch_sensor21418,1-706,230.983
2024-07-05 13:07:07.716,switch_sensor21419,1-706,230.985
2024-07-05 13:07:07.718,switch_sensor46407,1-706,230.987
2024-07-05 13:07:07.719,switch_sensor46408,1-706,230.988
2024-07-05 13:07:07.720,switch_sensor46d02,1-706,230.989
