time,log_type,sat,time_s
2024-07-04 10:32:02.589,deploy_start,1-424,0.0
2024-07-04 10:32:26.250,deploy_complete,1-424,23.661
2024-07-04 10:32:26.253,switch_sensor118,1-424,23.664
2024-07-04 10:32:26.254,switch_sensor123,1-424,23.665
2024-07-04 10:32:26.257,switch_sensor134,1-424,23.668
2024-07-04 10:32:26.257,switch_sensor158,1-424,23.668
2024-07-04 10:32:26.260,switch_sensor44,1-424,23.671
2024-07-04 10:32:26.258,switch_sensor111,1-424,23.669
2024-07-04 10:35:05.252,deploy_start,1-423,182.663
2024-07-04 10:35:27.814,deploy_complete,1-423,205.225
2024-07-04 10:35:27.817,switch_sensor118,1-423,205.228
2024-07-04 10:35:27.819,switch_sensor134,1-423,205.23
2024-07-04 10:35:27.818,switch_sensor123,1-423,205.229
2024-07-04 10:35:27.821,switch_sensor111,1-423,205.232
2024-07-04 10:35:27.820,switch_sensor158,1-423,205.231
2024-07-04 10:35:27.822,undeploy_start,1-424,205.233
2024-07-04 10:35:27.823,switch_sensor44,1-423,205.234
2024-07-04 10:35:28.982,undeploy_complete,1-424,206.393
2024-07-04 10:35:58.334,deploy_start,1-445,235.745
2024-07-04 10:36:20.298,deploy_complete,1-445,257.709
2024-07-04 10:36:20.300,switch_sensor118,1-445,257.711
2024-07-04 10:36:20.301,switch_sensor123,1-445,257.712
2024-07-04 10:36:20.303,switch_sensor134,1-445,257.714
2024-07-04 10:36:20.304,switch_sensor158,1-445,257.715
2024-07-04 10:36:20.306,switch_sensor44,1-445,257.717
2024-07-04 10:36:20.306,undeploy_start,1-423,257.717
2024-07-04 10:36:20.305,switch_sensor111,1-445,257.716
2024-07-04 10:36:21.426,undeploy_complete,1-423,258.837
