time_x,client_no,response_time,is_success,host,time_s,time_y,sat,distance
2024-07-05 13:04:06.668069,46419,0.020758,True,685,49.937069,2024-07-05 13:04:06.110,1-685,6212.0
2024-07-05 13:04:06.706969,21d13,0.059439,True,685,49.975969,2024-07-05 13:04:06.109,1-685,25515.0
2024-07-05 13:04:07.761749,46401,0.022761,True,685,51.030749,2024-07-05 13:04:06.111,1-685,6755.0
2024-07-05 13:04:07.776414,46d16,0.031304,True,685,51.045414,2024-07-05 13:04:06.111,1-685,4973.0
2024-07-05 13:04:07.813704,46416,0.018405,True,685,51.082704,2024-07-05 13:04:06.117,1-685,4461.0
2024-07-05 13:04:07.855786,46414,0.013445,True,685,51.124786,2024-07-05 13:04:06.118,1-685,2076.0
2024-07-05 13:04:07.899156,21418,0.054837,True,685,51.168156,2024-07-05 13:04:06.111,1-685,23174.0
2024-07-05 13:04:07.977378,46408,0.020056,True,685,51.246378,2024-07-05 13:04:06.112,1-685,5283.0
2024-07-05 13:04:08.089472,21419,0.047434,True,685,51.358472,2024-07-05 13:04:06.112,1-685,15156.0
2024-07-05 13:04:08.098412,46405,0.02718,True,685,51.367412,2024-07-05 13:04:06.206,1-685,9137.0
2024-07-05 13:04:08.109003,46d02,0.016589,True,685,51.378003,2024-07-05 13:04:06.113,1-685,4019.0
2024-07-05 13:04:08.133383,46407,0.026457,True,685,51.402383,2024-07-05 13:04:06.112,1-685,8800.0
2024-07-05 13:04:08.158413,46404,0.024218,True,685,51.427413,2024-07-05 13:04:06.114,1-685,7446.0
2024-07-05 13:04:08.250700,46d04,0.024351,True,685,51.5197,2024-07-05 13:04:06.206,1-685,7433.0
2024-07-05 13:04:08.267339,46452,0.028985,True,685,51.536339,2024-07-05 13:04:06.114,1-685,8511.0
2024-07-05 13:04:08.299783,21413,0.070155,True,685,51.568783,2024-07-05 13:04:06.114,1-685,25513.0
2024-07-05 13:04:08.339115,21414,0.033288,True,685,51.608115,2024-07-05 13:04:06.106,1-685,8283.0
2024-07-05 13:04:08.358275,46403,0.020358,True,685,51.627275,2024-07-05 13:04:06.115,1-685,2321.0
2024-07-05 13:04:08.374824,21415,0.028285,True,685,51.643824,2024-07-05 13:04:06.115,1-685,9470.0
2024-07-05 13:04:08.409628,46410,0.022619,True,685,51.678628,2024-07-05 13:04:06.115,1-685,3244.0
2024-07-05 13:04:08.432858,46490,0.044991,True,685,51.701858,2024-07-05 13:04:06.206,1-685,17393.0
2024-07-05 13:04:08.456952,46411,0.03612,True,685,51.725952,2024-07-05 13:04:08.440,1-685,9813.0
2024-07-05 13:04:08.473970,46402,0.016706,True,685,51.74297,2024-07-05 13:04:08.440,1-685,4010.0
2024-07-05 13:04:08.500175,46451,0.026273,True,685,51.769175,2024-07-05 13:04:08.448,1-685,8514.0
