time,log_type,sat,time_s
2024-07-04 13:40:13.008,deploy_start,1-685,0.0
2024-07-04 13:40:56.885,deploy_complete,1-685,43.877
2024-07-04 13:40:56.888,switch_sensor46412,1-685,43.88
2024-07-04 13:40:56.889,switch_sensor46403,1-685,43.881
2024-07-04 13:40:56.892,switch_sensor46d04,1-685,43.884
2024-07-04 13:40:56.893,switch_sensor46402,1-685,43.885
2024-07-04 13:40:56.895,switch_sensor46411,1-685,43.887
2024-07-04 13:40:56.894,switch_sensor21d13,1-685,43.886
2024-07-04 13:40:56.896,switch_sensor21414,1-685,43.888
2024-07-04 13:40:56.892,switch_sensor21413,1-685,43.884
2024-07-04 13:40:56.898,switch_sensor46408,1-685,43.89
2024-07-04 13:40:56.900,switch_sensor21415,1-685,43.892
2024-07-04 13:40:56.902,switch_sensor46414,1-685,43.894
2024-07-04 13:40:56.904,switch_sensor46d02,1-685,43.896
2024-07-04 13:40:56.903,switch_sensor21417,1-685,43.895
2024-07-04 13:40:56.904,switch_sensor21416,1-685,43.896
2024-07-04 13:40:56.903,switch_sensor46413,1-685,43.895
2024-07-04 13:40:56.906,switch_sensor46405,1-685,43.898
2024-07-04 13:40:56.908,switch_sensor21418,1-685,43.9
2024-07-04 13:40:56.909,switch_sensor46404,1-685,43.901
2024-07-04 13:40:57.006,switch_sensor46452,1-685,43.998
2024-07-04 13:40:57.008,switch_sensor46407,1-685,44.0
2024-07-04 13:40:57.009,switch_sensor46409,1-685,44.001
2024-07-04 13:40:57.011,switch_sensor46419,1-685,44.003
2024-07-04 13:40:57.013,switch_sensor46490,1-685,44.005
2024-07-04 13:40:57.014,switch_sensor46d16,1-685,44.006
2024-07-04 13:40:57.015,switch_sensor46416,1-685,44.007
2024-07-04 13:40:57.013,switch_sensor21419,1-685,44.005
2024-07-04 13:40:57.016,switch_sensor46401,1-685,44.008
2024-07-04 13:40:57.018,switch_sensor46415,1-685,44.01
2024-07-04 13:40:57.020,switch_sensor46410,1-685,44.012
2024-07-04 13:40:57.095,switch_sensor46451,1-685,44.087
2024-07-04 13:43:24.929,deploy_start,1-706,191.921
2024-07-04 13:44:12.195,deploy_complete,1-706,239.187
2024-07-04 13:44:12.197,switch_sensor46451,1-706,239.189
2024-07-04 13:44:12.200,switch_sensor21413,1-706,239.192
2024-07-04 13:44:12.198,switch_sensor46412,1-706,239.19
2024-07-04 13:44:12.201,switch_sensor46403,1-706,239.193
2024-07-04 13:44:12.202,switch_sensor46d04,1-706,239.194
2024-07-04 13:44:12.204,switch_sensor21d13,1-706,239.196
2024-07-04 13:44:12.205,switch_sensor46402,1-706,239.197
2024-07-04 13:44:12.208,switch_sensor46411,1-706,239.2
2024-07-04 13:44:12.208,switch_sensor21414,1-706,239.2
2024-07-04 13:44:12.209,switch_sensor46408,1-706,239.201
2024-07-04 13:44:12.211,switch_sensor46413,1-706,239.203
2024-07-04 13:44:12.212,switch_sensor21415,1-706,239.204
2024-07-04 13:44:12.215,switch_sensor46d02,1-706,239.207
2024-07-04 13:44:12.215,switch_sensor21417,1-706,239.207
2024-07-04 13:44:12.219,switch_sensor46405,1-706,239.211
2024-07-04 13:44:12.219,switch_sensor21418,1-706,239.211
2024-07-04 13:44:12.216,switch_sensor21416,1-706,239.208
2024-07-04 13:44:12.220,switch_sensor46404,1-706,239.212
2024-07-04 13:44:12.318,switch_sensor46452,1-706,239.31
2024-07-04 13:44:12.318,switch_sensor46407,1-706,239.31
2024-07-04 13:44:12.320,switch_sensor46401,1-706,239.312
2024-07-04 13:44:12.319,switch_sensor46409,1-706,239.311
2024-07-04 13:44:12.321,switch_sensor46419,1-706,239.313
2024-07-04 13:44:12.324,switch_sensor46490,1-706,239.316
2024-07-04 13:44:12.325,switch_sensor46d16,1-706,239.317
2024-07-04 13:44:12.324,switch_sensor21419,1-706,239.316
2024-07-04 13:44:12.327,switch_sensor46416,1-706,239.319
2024-07-04 13:44:12.328,undeploy_start,1-685,239.32
2024-07-04 13:44:12.329,switch_sensor46410,1-706,239.321
2024-07-04 13:44:12.329,switch_sensor46415,1-706,239.321
2024-07-04 13:44:12.399,switch_sensor46414,1-706,239.391
2024-07-04 13:44:16.562,undeploy_complete,1-685,243.554
