timestamp,log_type,num_sats,deployed_sats
2024-07-08 18:48:40.039,deploy_start,6,6
2024-07-08 18:48:56.446,deploy_complete,6,6
2024-07-08 18:49:25.183,deploy_start,1,7
2024-07-08 18:49:40.421,deploy_complete,1,7
2024-07-08 18:49:48.143,deploy_start,1,8
2024-07-08 18:50:04.920,deploy_complete,1,8
2024-07-08 18:50:05.408,undeploy_start,1,8
2024-07-08 18:50:06.658,undeploy_complete,1,7
2024-07-08 18:50:07.119,undeploy_start,2,7
2024-07-08 18:50:08.361,undeploy_complete,2,5
2024-07-08 18:50:23.363,undeploy_start,1,5
2024-07-08 18:50:24.735,undeploy_complete,1,4
2024-07-08 18:50:38.761,undeploy_start,1,4
2024-07-08 18:50:40.017,undeploy_complete,1,3
2024-07-08 18:51:17.703,deploy_start,1,4
2024-07-08 18:51:33.433,deploy_complete,1,4
2024-07-08 18:51:34.124,undeploy_start,1,4
2024-07-08 18:51:35.278,undeploy_complete,1,3
2024-07-08 18:51:47.414,deploy_start,1,4
2024-07-08 18:52:08.414,deploy_complete,1,4
2024-07-08 18:52:08.943,deploy_start,1,5
2024-07-08 18:52:31.403,deploy_complete,1,5
2024-07-08 18:52:31.999,deploy_start,3,8
2024-07-08 18:52:52.398,deploy_complete,3,8
2024-07-08 18:52:52.505,undeploy_start,3,8
2024-07-08 18:52:53.757,undeploy_complete,3,5
