timestamp,log_type,num_sats,deployed_sats
2024-07-08 10:13:38.468,deploy_start,1,1
2024-07-08 10:13:56.402,deploy_complete,1,1
2024-07-08 10:13:56.451,deploy_start,1,2
2024-07-08 10:14:10.572,deploy_complete,1,2
2024-07-08 10:14:10.573,undeploy_start,1,2
2024-07-08 10:14:11.696,undeploy_complete,1,1
2024-07-08 10:14:11.729,deploy_start,1,2
2024-07-08 10:14:26.418,deploy_complete,1,2
2024-07-08 10:14:26.420,undeploy_start,1,2
2024-07-08 10:14:27.507,undeploy_complete,1,1
2024-07-08 10:16:08.201,deploy_start,1,2
2024-07-08 10:16:22.554,deploy_complete,1,2
2024-07-08 10:16:22.555,undeploy_start,1,2
2024-07-08 10:16:23.641,undeploy_complete,1,1
2024-07-08 10:17:43.221,deploy_start,1,2
