timestamp,log_type,num_sats,deployed_sats
2024-07-08 12:33:46.841,deploy_start,1,1
2024-07-08 12:34:03.457,deploy_complete,1,1
2024-07-08 12:34:03.514,deploy_start,1,2
2024-07-08 12:34:17.688,deploy_complete,1,2
2024-07-08 12:34:17.689,undeploy_start,1,2
2024-07-08 12:34:18.806,undeploy_complete,1,1
2024-07-08 12:34:18.841,deploy_start,1,2
2024-07-08 12:34:33.554,deploy_complete,1,2
2024-07-08 12:34:33.555,undeploy_start,1,2
2024-07-08 12:34:34.660,undeploy_complete,1,1
2024-07-08 12:36:17.738,deploy_start,1,2
2024-07-08 12:36:32.034,deploy_complete,1,2
2024-07-08 12:36:32.035,undeploy_start,1,2
2024-07-08 12:36:33.127,undeploy_complete,1,1
2024-07-08 12:37:52.728,deploy_start,1,2
