timestamp,log_type,num_sats,deployed_sats
2024-07-08 10:59:49.976,deploy_start,1,1
2024-07-08 11:00:06.438,deploy_complete,1,1
2024-07-08 11:00:06.488,deploy_start,1,2
2024-07-08 11:00:22.612,deploy_complete,1,2
2024-07-08 11:00:22.613,undeploy_start,1,2
2024-07-08 11:00:23.727,undeploy_complete,1,1
2024-07-08 11:00:23.763,deploy_start,1,2
2024-07-08 11:00:39.657,deploy_complete,1,2
2024-07-08 11:00:39.658,undeploy_start,1,2
2024-07-08 11:00:43.770,undeploy_complete,1,1
2024-07-08 11:02:18.832,deploy_start,1,2
2024-07-08 11:02:45.687,deploy_complete,1,2
2024-07-08 11:02:45.689,undeploy_start,1,2
2024-07-08 11:02:48.344,undeploy_complete,1,1
2024-07-08 11:03:53.774,deploy_start,1,2
