timestamp,log_type,num_sats,deployed_sats
2024-07-09 07:13:39.795,deploy_start,6,6
2024-07-09 07:13:56.422,deploy_complete,6,6
2024-07-09 07:14:24.459,deploy_start,1,7
2024-07-09 07:14:40.792,deploy_complete,1,7
2024-07-09 07:14:47.149,deploy_start,1,8
2024-07-09 07:15:08.523,deploy_complete,1,8
2024-07-09 07:15:09.139,undeploy_start,3,8
2024-07-09 07:15:10.500,undeploy_complete,3,5
2024-07-09 07:15:22.482,undeploy_start,1,5
2024-07-09 07:15:23.734,undeploy_complete,1,4
2024-07-09 07:15:38.102,undeploy_start,1,4
2024-07-09 07:15:39.569,undeploy_complete,1,3
2024-07-09 07:16:17.073,deploy_start,1,4
2024-07-09 07:16:36.410,deploy_complete,1,4
2024-07-09 07:16:37.154,undeploy_start,1,4
2024-07-09 07:16:38.498,undeploy_complete,1,3
2024-07-09 07:16:46.997,deploy_start,1,4
2024-07-09 07:17:31.744,deploy_complete,1,4
2024-07-09 07:17:32.352,deploy_start,3,7
