timestamp,log_type,num_sats,deployed_sats
2024-07-08 12:40:20.736,deploy_start,1,1
2024-07-08 12:40:37.670,deploy_complete,1,1
2024-07-08 12:40:37.721,deploy_start,1,2
2024-07-08 12:40:51.856,deploy_complete,1,2
2024-07-08 12:40:51.857,undeploy_start,1,2
2024-07-08 12:40:52.996,undeploy_complete,1,1
2024-07-08 12:40:53.032,deploy_start,1,2
2024-07-08 12:41:07.549,deploy_complete,1,2
2024-07-08 12:41:07.550,undeploy_start,1,2
2024-07-08 12:41:08.641,undeploy_complete,1,1
2024-07-08 12:42:49.952,deploy_start,1,2
2024-07-08 12:43:04.432,deploy_complete,1,2
2024-07-08 12:43:04.433,undeploy_start,1,2
2024-07-08 12:43:05.522,undeploy_complete,1,1
2024-07-08 12:44:24.968,deploy_start,1,2
