timestamp,client,key,time,cache_hit,len,host,time_ms,sat,distance
2024-07-08 16:20:45.114500,shaniko,/wikipedia/commons/c/c4/Stamp_of_India_-_1983_-_Colnect_168540_-_Jat_Regiment.jpeg200_399,0.029005,False,38,8.1.celestial:8000/cdn,29.005,1-8,2407.0
2024-07-08 16:20:45.172052,shaniko,/wikipedia/commons/0/0a/Upsilon_uc_lc.svg400_599,0.03646,False,38,8.1.celestial:8000/cdn,36.46,1-8,2407.0
2024-07-08 16:20:45.213941,shaniko,/wikipedia/commons/c/c9/Order_Sint_Olaf_1_kl.png0_199,0.029169,False,38,8.1.celestial:8000/cdn,29.169,1-8,2407.0
2024-07-08 16:20:45.269781,shaniko,/wikipedia/commons/d/d7/Symbol_Translate.svg200_399,0.035357,False,38,8.1.celestial:8000/cdn,35.357,1-8,2407.0
2024-07-08 16:20:45.322694,shaniko,/wikipedia/commons/8/8a/Spike_cutaway_diagram.jpg200_399,0.038049,False,38,8.1.celestial:8000/cdn,38.049,1-8,2407.0
2024-07-08 16:20:45.371700,shaniko,/wikipedia/commons/7/71/Escut_de_Pineda_de_Mar.svg0_199,0.036527,False,38,8.1.celestial:8000/cdn,36.526999999999994,1-8,2407.0
2024-07-08 16:20:45.426710,shaniko,/wikipedia/commons/3/3c/Rashida_Jones_2017_cropped.jpg400_599,0.041528,False,38,8.1.celestial:8000/cdn,41.528000000000006,1-8,2407.0
2024-07-08 16:20:45.466559,shaniko,/wikipedia/commons/9/97/Blu_Bianco_e_Rosso_diagonale.png0_199,0.030299,False,38,8.1.celestial:8000/cdn,30.299,1-8,2407.0
2024-07-08 16:20:45.521728,shaniko,/wikipedia/commons/9/98/Phosphoric-acid-2D-dimensions.svg200_399,0.036431,False,38,8.1.celestial:8000/cdn,36.431,1-8,2407.0
2024-07-08 16:20:45.572052,shaniko,/wikipedia/commons/2/21/Al_Grassby_1973.jpg200_399,0.03645,False,38,8.1.celestial:8000/cdn,36.45,1-8,2407.0
2024-07-08 16:20:45.622221,shaniko,/wikipedia/commons/f/f8/StanisC582aw_Ignacy_Witkiewicz.jpg200_399,0.03735,False,38,8.1.celestial:8000/cdn,37.35,1-8,2407.0
2024-07-08 16:20:45.655611,shaniko,/wikipedia/commons/4/46/Flagge_GroC39Fherzogtum_Sachsen-Weimar-Eisenach_1813-1897.svg0_199,0.021007,False,38,8.1.celestial:8000/cdn,21.007,1-8,2407.0
2024-07-08 16:20:45.724539,shaniko,/wikipedia/commons/f/f8/TRIAL_wasada_1.jpg0_199,0.039541,False,38,8.1.celestial:8000/cdn,39.541,1-8,2407.0
2024-07-08 16:20:45.764467,shaniko,/wikipedia/commons/0/04/Wright_Glider_1902.jpg200_399,0.028051,False,38,8.1.celestial:8000/cdn,28.051,1-8,2407.0
2024-07-08 16:20:45.805314,shaniko,/wikipedia/commons/e/e9/Thiago_Motta.JPG200_399,0.020292,False,38,8.1.celestial:8000/cdn,20.292,1-8,2407.0
2024-07-08 16:20:45.877145,shaniko,/wikipedia/commons/8/88/Imran_Khan_at_the_Shanghai_Cooperation_Organisation_summit_in_2019_cropped.jpg0_199,0.041713,False,38,8.1.celestial:8000/cdn,41.713,1-8,2407.0
2024-07-08 16:20:45.905300,shaniko,/wikipedia/commons/f/ff/GClef.svg0_199,0.020715,False,38,8.1.celestial:8000/cdn,20.715,1-8,2407.0
2024-07-08 16:20:45.953897,shaniko,/wikipedia/commons/7/79/Peel_RR_4_jct.svg0_199,0.019173,False,38,8.1.celestial:8000/cdn,19.173,1-8,2407.0
2024-07-08 16:20:46.005918,shaniko,/wikipedia/commons/2/2a/Newspaper.svg0_199,0.020274,False,38,8.1.celestial:8000/cdn,20.274,1-8,2407.0
2024-07-08 16:20:46.075504,shaniko,/wikipedia/commons/b/bc/Monumento_11M2C_AlcalC3A1_de_Henares2C_EspaC3B1a_15.JPG200_399,0.040072,False,38,8.1.celestial:8000/cdn,40.072,1-8,2407.0
2024-07-08 16:20:46.113874,shaniko,/wikipedia/commons/3/3e/Flag_of_Krasnodar_Krasnodar_krai_2006.png200_399,0.028011,False,38,8.1.celestial:8000/cdn,28.011000000000003,1-8,2407.0
2024-07-08 16:20:46.184305,shaniko,/wikipedia/commons/d/d8/Mauritius_-_Detail_uit_Het_uitzeilen_van_een_aantal_Oost-IndiC3ABvaarders_van_Hendrick_Cornelisz_Vroom_1600.jpg400_599,0.049112,False,38,8.1.celestial:8000/cdn,49.112,1-8,2407.0
2024-07-08 16:20:46.211840,shaniko,/wikipedia/en/2/2f/Badri_2001_poster.jpgoriginal,0.027051,False,38,8.1.celestial:8000/cdn,27.051,1-8,2407.0
2024-07-08 16:20:46.262620,shaniko,/wikipedia/commons/1/1f/Shou_Zi_Chew_2023_cropped.jpg400_599,0.027722,False,38,8.1.celestial:8000/cdn,27.722,1-8,2407.0
2024-07-08 16:20:46.323870,shaniko,/wikipedia/commons/4/4f/Olympic_skier_in_ice_storm.jpg400_599,0.038448,False,38,8.1.celestial:8000/cdn,38.448,1-8,2407.0
2024-07-08 16:20:46.356208,shaniko,/wikipedia/commons/d/d7/Go_bT.svg0_199,0.020483,False,38,8.1.celestial:8000/cdn,20.483,1-8,2407.0
2024-07-08 16:20:46.415423,shaniko,/wikipedia/commons/5/50/Marunimitsume.gif0_199,0.030303,False,38,8.1.celestial:8000/cdn,30.303,1-8,2407.0
2024-07-08 16:20:46.475926,shaniko,/wikipedia/commons/6/69/124_BAP_CARRASCO_-_ANTARTIDA_2018.jpg200_399,0.040449,False,38,8.1.celestial:8000/cdn,40.449,1-8,2407.0
2024-07-08 16:20:46.516308,shaniko,/wikipedia/commons/e/e9/Gastro-intestinal_tract.pngoriginal,0.030751,False,38,8.1.celestial:8000/cdn,30.751,1-8,2407.0
2024-07-08 16:20:46.565303,shaniko,/wikipedia/commons/6/6a/Air_Force_Ensign_of_Israel.svg0_199,0.030391,False,38,8.1.celestial:8000/cdn,30.391000000000002,1-8,2407.0
