time,gst,sat,delay,time_ms
2024-07-03 16:09:01.571,redmond,1-2,2776.0,-22102.0
2024-07-03 16:09:23.717,redmond,1-2,2776.0,44.0
2024-07-03 16:09:23.754,redmond,1-2,2776.0,81.0
2024-07-03 16:09:23.786,redmond,1-2,2776.0,113.0
2024-07-03 16:09:23.817,redmond,1-2,2776.0,144.0
2024-07-03 16:09:23.849,redmond,1-2,2776.0,176.0
2024-07-03 16:09:23.881,redmond,1-2,2776.0,208.0
2024-07-03 16:09:23.914,redmond,1-2,2776.0,241.0
2024-07-03 16:09:23.945,redmond,1-2,2776.0,272.0
2024-07-03 16:09:23.977,redmond,1-2,2776.0,304.0
2024-07-03 16:09:24.008,redmond,1-2,2776.0,335.0
2024-07-03 16:09:24.041,redmond,1-2,2776.0,368.0
2024-07-03 16:09:24.074,redmond,1-2,2776.0,401.0
2024-07-03 16:09:24.105,redmond,1-2,2776.0,432.0
2024-07-03 16:09:24.136,redmond,1-2,2776.0,463.0
2024-07-03 16:09:24.169,redmond,1-2,2776.0,496.0
2024-07-03 16:09:24.200,redmond,1-2,2776.0,527.0
2024-07-03 16:09:24.231,redmond,1-2,2776.0,558.0
2024-07-03 16:09:24.262,redmond,1-2,2776.0,589.0
2024-07-03 16:09:24.294,redmond,1-2,2776.0,621.0
2024-07-03 16:09:24.329,redmond,1-2,2776.0,656.0
2024-07-03 16:09:24.360,redmond,1-2,2776.0,687.0
2024-07-03 16:09:24.397,redmond,1-2,2776.0,724.0
2024-07-03 16:09:24.434,redmond,1-2,2776.0,761.0
2024-07-03 16:09:24.470,redmond,1-2,2776.0,797.0
2024-07-03 16:09:24.501,redmond,1-2,2776.0,828.0
2024-07-03 16:09:24.531,redmond,1-2,2776.0,858.0
2024-07-03 16:09:24.561,redmond,1-2,2776.0,888.0
2024-07-03 16:09:24.592,redmond,1-2,2776.0,919.0
2024-07-03 16:09:24.623,redmond,1-2,2776.0,950.0
2024-07-03 16:09:24.654,redmond,1-2,2776.0,981.0
2024-07-03 16:09:24.684,redmond,1-2,2776.0,1011.0
2024-07-03 16:09:24.715,redmond,1-2,2776.0,1042.0
2024-07-03 16:09:24.745,redmond,1-2,2776.0,1072.0
2024-07-03 16:09:24.776,redmond,1-2,2776.0,1103.0
2024-07-03 16:09:24.806,redmond,1-2,2776.0,1133.0
2024-07-03 16:09:24.838,redmond,1-2,2776.0,1165.0
2024-07-03 16:09:24.868,redmond,1-2,2776.0,1195.0
2024-07-03 16:09:24.900,redmond,1-2,2776.0,1227.0
2024-07-03 16:09:24.930,redmond,1-2,2776.0,1257.0
2024-07-03 16:09:24.960,redmond,1-2,2776.0,1287.0
2024-07-03 16:09:24.990,redmond,1-2,2776.0,1317.0
2024-07-03 16:09:25.020,redmond,1-2,2776.0,1347.0
2024-07-03 16:09:25.050,redmond,1-2,2776.0,1377.0
2024-07-03 16:09:25.080,redmond,1-2,2776.0,1407.0
2024-07-03 16:09:25.110,redmond,1-2,2776.0,1437.0
2024-07-03 16:09:25.140,redmond,1-2,2776.0,1467.0
2024-07-03 16:09:25.170,redmond,1-2,2776.0,1497.0
2024-07-03 16:09:25.200,redmond,1-2,2776.0,1527.0
2024-07-03 16:09:25.230,redmond,1-2,2776.0,1557.0
2024-07-03 16:09:25.261,redmond,1-2,2776.0,1588.0
2024-07-03 16:09:25.291,redmond,1-2,2776.0,1618.0
2024-07-03 16:09:25.322,redmond,1-2,2776.0,1649.0
2024-07-03 16:09:25.352,redmond,1-2,2776.0,1679.0
2024-07-03 16:09:25.383,redmond,1-2,2776.0,1710.0
2024-07-03 16:09:25.413,redmond,1-2,2776.0,1740.0
2024-07-03 16:09:25.444,redmond,1-2,2776.0,1771.0
2024-07-03 16:09:25.475,redmond,1-2,2776.0,1802.0
2024-07-03 16:09:25.505,redmond,1-2,2776.0,1832.0
2024-07-03 16:09:25.536,redmond,1-2,2776.0,1863.0
2024-07-03 16:09:25.566,redmond,1-2,2776.0,1893.0
2024-07-03 16:09:25.596,redmond,1-2,2776.0,1923.0
2024-07-03 16:09:25.628,redmond,1-2,2776.0,1955.0
2024-07-03 16:09:25.658,redmond,1-2,2776.0,1985.0
2024-07-03 16:09:25.688,redmond,1-2,2776.0,2015.0
2024-07-03 16:09:25.719,redmond,1-2,2776.0,2046.0
2024-07-03 16:09:25.749,redmond,1-2,2776.0,2076.0
2024-07-03 16:09:25.779,redmond,1-2,2776.0,2106.0
2024-07-03 16:09:25.809,redmond,1-2,2776.0,2136.0
2024-07-03 16:09:25.839,redmond,1-2,2776.0,2166.0
2024-07-03 16:09:25.869,redmond,1-2,2776.0,2196.0
2024-07-03 16:09:25.901,redmond,1-2,2776.0,2228.0
2024-07-03 16:09:25.931,redmond,1-2,2776.0,2258.0
2024-07-03 16:09:25.961,redmond,1-2,2776.0,2288.0
2024-07-03 16:09:25.992,redmond,1-2,2776.0,2319.0
2024-07-03 16:09:26.024,redmond,1-2,2776.0,2351.0
2024-07-03 16:09:26.054,redmond,1-2,2776.0,2381.0
2024-07-03 16:09:26.085,redmond,1-2,2776.0,2412.0
2024-07-03 16:09:26.115,redmond,1-2,2776.0,2442.0
2024-07-03 16:09:26.145,redmond,1-2,2776.0,2472.0
2024-07-03 16:09:26.175,redmond,1-2,2776.0,2502.0
2024-07-03 16:09:26.205,redmond,1-2,2776.0,2532.0
2024-07-03 16:09:26.235,redmond,1-2,2776.0,2562.0
2024-07-03 16:09:26.265,redmond,1-2,2776.0,2592.0
2024-07-03 16:09:26.295,redmond,1-2,2776.0,2622.0
2024-07-03 16:09:26.325,redmond,1-2,2776.0,2652.0
2024-07-03 16:09:26.355,redmond,1-2,2776.0,2682.0
2024-07-03 16:09:26.385,redmond,1-2,2776.0,2712.0
2024-07-03 16:09:26.414,redmond,1-2,2776.0,2741.0
2024-07-03 16:09:26.445,redmond,1-2,2776.0,2772.0
2024-07-03 16:09:26.475,redmond,1-2,2776.0,2802.0
2024-07-03 16:09:26.505,redmond,1-2,2776.0,2832.0
2024-07-03 16:09:26.535,redmond,1-2,2776.0,2862.0
2024-07-03 16:09:26.565,redmond,1-2,2776.0,2892.0
2024-07-03 16:09:26.595,redmond,1-2,2776.0,2922.0
2024-07-03 16:09:26.626,redmond,1-2,2776.0,2953.0
2024-07-03 16:09:26.656,redmond,1-2,2776.0,2983.0
2024-07-03 16:09:26.687,redmond,1-2,2776.0,3014.0
2024-07-03 16:09:26.717,redmond,1-2,2776.0,3044.0
2024-07-03 16:09:26.747,redmond,1-2,2776.0,3074.0
2024-07-03 16:09:26.777,redmond,1-2,2776.0,3104.0
2024-07-03 16:09:26.807,redmond,1-2,2776.0,3134.0
