time,gst,sat,time_ms
2024-07-03 16:34:43.011,redmond,2.1.celestial,28.0
2024-07-03 16:37:52.477,redmond,1.1.celestial,189494.0
2024-07-03 16:42:23.448,redmond,0.1.celestial,460465.0
2024-07-03 16:46:47.434,redmond,21.1.celestial,724451.0
