time,gst,sat,delay,time_ms
2024-07-04 07:00:08.910,redmond,1-2,2776.0,-22694.0
2024-07-04 07:00:31.649,redmond,1-2,2776.0,45.0
2024-07-04 07:00:31.680,redmond,1-2,2776.0,76.0
2024-07-04 07:00:31.712,redmond,1-2,2776.0,108.0
2024-07-04 07:00:31.743,redmond,1-2,2776.0,139.0
2024-07-04 07:00:31.777,redmond,1-2,2776.0,173.0
2024-07-04 07:00:31.808,redmond,1-2,2776.0,204.0
2024-07-04 07:00:31.844,redmond,1-2,2776.0,240.0
2024-07-04 07:00:31.876,redmond,1-2,2776.0,272.0
2024-07-04 07:00:31.908,redmond,1-2,2776.0,304.0
2024-07-04 07:00:31.940,redmond,1-2,2776.0,336.0
2024-07-04 07:00:31.972,redmond,1-2,2776.0,368.0
2024-07-04 07:00:32.003,redmond,1-2,2776.0,399.0
2024-07-04 07:00:32.035,redmond,1-2,2776.0,431.0
2024-07-04 07:00:32.067,redmond,1-2,2776.0,463.0
2024-07-04 07:00:32.098,redmond,1-2,2776.0,494.0
2024-07-04 07:00:32.130,redmond,1-2,2776.0,526.0
2024-07-04 07:00:32.162,redmond,1-2,2776.0,558.0
2024-07-04 07:00:32.193,redmond,1-2,2776.0,589.0
2024-07-04 07:00:32.225,redmond,1-2,2776.0,621.0
2024-07-04 07:00:32.256,redmond,1-2,2776.0,652.0
2024-07-04 07:00:32.287,redmond,1-2,2776.0,683.0
2024-07-04 07:00:32.318,redmond,1-2,2776.0,714.0
2024-07-04 07:00:32.348,redmond,1-2,2776.0,744.0
2024-07-04 07:00:32.379,redmond,1-2,2776.0,775.0
2024-07-04 07:00:32.410,redmond,1-2,2776.0,806.0
2024-07-04 07:00:32.440,redmond,1-2,2776.0,836.0
2024-07-04 07:00:32.471,redmond,1-2,2776.0,867.0
2024-07-04 07:00:32.501,redmond,1-2,2776.0,897.0
2024-07-04 07:00:32.532,redmond,1-2,2776.0,928.0
2024-07-04 07:00:32.562,redmond,1-2,2776.0,958.0
2024-07-04 07:00:32.593,redmond,1-2,2776.0,989.0
2024-07-04 07:00:32.624,redmond,1-2,2776.0,1020.0
2024-07-04 07:00:32.654,redmond,1-2,2776.0,1050.0
2024-07-04 07:00:32.684,redmond,1-2,2776.0,1080.0
2024-07-04 07:00:32.714,redmond,1-2,2776.0,1110.0
2024-07-04 07:00:32.745,redmond,1-2,2776.0,1141.0
2024-07-04 07:00:32.775,redmond,1-2,2776.0,1171.0
2024-07-04 07:00:32.806,redmond,1-2,2776.0,1202.0
2024-07-04 07:00:32.836,redmond,1-2,2776.0,1232.0
2024-07-04 07:00:32.867,redmond,1-2,2776.0,1263.0
2024-07-04 07:00:32.898,redmond,1-2,2776.0,1294.0
2024-07-04 07:00:32.929,redmond,1-2,2776.0,1325.0
2024-07-04 07:00:32.960,redmond,1-2,2776.0,1356.0
2024-07-04 07:00:32.991,redmond,1-2,2776.0,1387.0
2024-07-04 07:00:33.022,redmond,1-2,2776.0,1418.0
2024-07-04 07:00:33.053,redmond,1-2,2776.0,1449.0
2024-07-04 07:00:33.084,redmond,1-2,2776.0,1480.0
2024-07-04 07:00:33.114,redmond,1-2,2776.0,1510.0
2024-07-04 07:00:33.144,redmond,1-2,2776.0,1540.0
2024-07-04 07:00:33.175,redmond,1-2,2776.0,1571.0
2024-07-04 07:00:33.205,redmond,1-2,2776.0,1601.0
2024-07-04 07:00:33.236,redmond,1-2,2776.0,1632.0
2024-07-04 07:00:33.267,redmond,1-2,2776.0,1663.0
2024-07-04 07:00:33.297,redmond,1-2,2776.0,1693.0
2024-07-04 07:00:33.327,redmond,1-2,2776.0,1723.0
2024-07-04 07:00:33.358,redmond,1-2,2776.0,1754.0
2024-07-04 07:00:33.389,redmond,1-2,2776.0,1785.0
2024-07-04 07:00:33.420,redmond,1-2,2776.0,1816.0
2024-07-04 07:00:33.450,redmond,1-2,2776.0,1846.0
2024-07-04 07:00:33.480,redmond,1-2,2776.0,1876.0
2024-07-04 07:00:33.510,redmond,1-2,2776.0,1906.0
2024-07-04 07:00:33.539,redmond,1-2,2776.0,1935.0
2024-07-04 07:00:33.570,redmond,1-2,2776.0,1966.0
2024-07-04 07:00:33.600,redmond,1-2,2776.0,1996.0
2024-07-04 07:00:33.630,redmond,1-2,2776.0,2026.0
2024-07-04 07:00:33.661,redmond,1-2,2776.0,2057.0
2024-07-04 07:00:33.692,redmond,1-2,2776.0,2088.0
2024-07-04 07:00:33.722,redmond,1-2,2776.0,2118.0
2024-07-04 07:00:33.752,redmond,1-2,2776.0,2148.0
2024-07-04 07:00:33.783,redmond,1-2,2776.0,2179.0
2024-07-04 07:00:33.814,redmond,1-2,2776.0,2210.0
2024-07-04 07:00:33.845,redmond,1-2,2776.0,2241.0
2024-07-04 07:00:33.874,redmond,1-2,2776.0,2270.0
2024-07-04 07:00:33.905,redmond,1-2,2776.0,2301.0
2024-07-04 07:00:33.937,redmond,1-2,2776.0,2333.0
2024-07-04 07:00:33.968,redmond,1-2,2776.0,2364.0
2024-07-04 07:00:33.999,redmond,1-2,2776.0,2395.0
2024-07-04 07:00:34.030,redmond,1-2,2776.0,2426.0
2024-07-04 07:00:34.062,redmond,1-2,2776.0,2458.0
2024-07-04 07:00:34.093,redmond,1-2,2776.0,2489.0
2024-07-04 07:00:34.123,redmond,1-2,2776.0,2519.0
2024-07-04 07:00:34.154,redmond,1-2,2776.0,2550.0
2024-07-04 07:00:34.184,redmond,1-2,2776.0,2580.0
2024-07-04 07:00:34.214,redmond,1-2,2776.0,2610.0
2024-07-04 07:00:34.245,redmond,1-2,2776.0,2641.0
2024-07-04 07:00:34.274,redmond,1-2,2776.0,2670.0
2024-07-04 07:00:34.305,redmond,1-2,2776.0,2701.0
2024-07-04 07:00:34.336,redmond,1-2,2776.0,2732.0
2024-07-04 07:00:34.366,redmond,1-2,2776.0,2762.0
2024-07-04 07:00:34.396,redmond,1-2,2776.0,2792.0
2024-07-04 07:00:34.427,redmond,1-2,2776.0,2823.0
2024-07-04 07:00:34.458,redmond,1-2,2776.0,2854.0
2024-07-04 07:00:34.488,redmond,1-2,2776.0,2884.0
2024-07-04 07:00:34.519,redmond,1-2,2776.0,2915.0
2024-07-04 07:00:34.549,redmond,1-2,2776.0,2945.0
2024-07-04 07:00:34.578,redmond,1-2,2776.0,2974.0
2024-07-04 07:00:34.609,redmond,1-2,2776.0,3005.0
2024-07-04 07:00:34.639,redmond,1-2,2776.0,3035.0
2024-07-04 07:00:34.668,redmond,1-2,2776.0,3064.0
2024-07-04 07:00:34.698,redmond,1-2,2776.0,3094.0
2024-07-04 07:00:34.729,redmond,1-2,2776.0,3125.0
2024-07-04 07:00:34.760,redmond,1-2,2776.0,3156.0
2024-07-04 07:00:34.790,redmond,1-2,2776.0,3186.0
2024-07-04 07:00:34.820,redmond,1-2,2776.0,3216.0
2024-07-04 07:00:34.851,redmond,1-2,2776.0,3247.0
2024-07-04 07:00:34.881,redmond,1-2,2776.0,3277.0
2024-07-04 07:00:34.912,redmond,1-2,2776.0,3308.0
2024-07-04 07:00:34.943,redmond,1-2,2776.0,3339.0
2024-07-04 07:00:34.973,redmond,1-2,2776.0,3369.0
2024-07-04 07:00:35.002,redmond,1-2,2776.0,3398.0
2024-07-04 07:00:35.032,redmond,1-2,2776.0,3428.0
2024-07-04 07:00:35.062,redmond,1-2,2776.0,3458.0
2024-07-04 07:00:35.092,redmond,1-2,2776.0,3488.0
2024-07-04 07:00:35.122,redmond,1-2,2776.0,3518.0
2024-07-04 07:00:35.155,redmond,1-2,2776.0,3551.0
2024-07-04 07:00:35.186,redmond,1-2,2776.0,3582.0
2024-07-04 07:00:35.215,redmond,1-2,2776.0,3611.0
2024-07-04 07:00:35.250,redmond,1-2,2776.0,3646.0
2024-07-04 07:00:35.284,redmond,1-2,2776.0,3680.0
2024-07-04 07:00:35.318,redmond,1-2,2776.0,3714.0
2024-07-04 07:00:35.352,redmond,1-2,2776.0,3748.0
2024-07-04 07:00:35.388,redmond,1-2,2776.0,3784.0
2024-07-04 07:00:35.420,redmond,1-2,2776.0,3816.0
2024-07-04 07:00:35.450,redmond,1-2,2776.0,3846.0
2024-07-04 07:00:35.480,redmond,1-2,2776.0,3876.0
2024-07-04 07:00:35.511,redmond,1-2,2776.0,3907.0
2024-07-04 07:00:35.541,redmond,1-2,2776.0,3937.0
2024-07-04 07:00:35.571,redmond,1-2,2776.0,3967.0
2024-07-04 07:00:35.602,redmond,1-2,2776.0,3998.0
2024-07-04 07:00:35.632,redmond,1-2,2776.0,4028.0
2024-07-04 07:00:35.663,redmond,1-2,2776.0,4059.0
2024-07-04 07:00:35.694,redmond,1-2,2776.0,4090.0
2024-07-04 07:00:35.724,redmond,1-2,2776.0,4120.0
2024-07-04 07:00:35.754,redmond,1-2,2776.0,4150.0
2024-07-04 07:00:35.783,redmond,1-2,2776.0,4179.0
2024-07-04 07:00:35.814,redmond,1-2,2776.0,4210.0
2024-07-04 07:00:35.844,redmond,1-2,2776.0,4240.0
2024-07-04 07:00:35.873,redmond,1-2,2776.0,4269.0
2024-07-04 07:00:35.904,redmond,1-2,2776.0,4300.0
2024-07-04 07:00:35.934,redmond,1-2,2776.0,4330.0
2024-07-04 07:00:35.965,redmond,1-2,2776.0,4361.0
2024-07-04 07:00:35.996,redmond,1-2,2776.0,4392.0
2024-07-04 07:00:36.026,redmond,1-2,2776.0,4422.0
2024-07-04 07:00:36.056,redmond,1-2,2776.0,4452.0
2024-07-04 07:00:36.087,redmond,1-2,2776.0,4483.0
2024-07-04 07:00:36.117,redmond,1-2,2776.0,4513.0
2024-07-04 07:00:36.146,redmond,1-2,2776.0,4542.0
2024-07-04 07:00:36.176,redmond,1-2,2776.0,4572.0
2024-07-04 07:00:36.206,redmond,1-2,2776.0,4602.0
2024-07-04 07:00:36.236,redmond,1-2,2776.0,4632.0
2024-07-04 07:00:36.267,redmond,1-2,2776.0,4663.0
2024-07-04 07:00:36.300,redmond,1-2,2776.0,4696.0
2024-07-04 07:00:36.330,redmond,1-2,2776.0,4726.0
2024-07-04 07:00:36.361,redmond,1-2,2776.0,4757.0
2024-07-04 07:00:36.391,redmond,1-2,2776.0,4787.0
2024-07-04 07:00:36.421,redmond,1-2,2776.0,4817.0
2024-07-04 07:00:36.451,redmond,1-2,2776.0,4847.0
2024-07-04 07:00:36.480,redmond,1-2,2776.0,4876.0
2024-07-04 07:00:36.510,redmond,1-2,2776.0,4906.0
2024-07-04 07:00:36.539,redmond,1-2,2776.0,4935.0
2024-07-04 07:00:36.569,redmond,1-2,2776.0,4965.0
2024-07-04 07:00:36.599,redmond,1-2,2776.0,4995.0
2024-07-04 07:00:36.629,redmond,1-2,2776.0,5025.0
2024-07-04 07:00:36.659,redmond,1-2,2776.0,5055.0
2024-07-04 07:00:36.688,redmond,1-2,2776.0,5084.0
2024-07-04 07:00:36.716,redmond,1-2,2776.0,5112.0
2024-07-04 07:00:36.746,redmond,1-2,2776.0,5142.0
2024-07-04 07:00:36.775,redmond,1-2,2776.0,5171.0
2024-07-04 07:00:36.804,redmond,1-2,2776.0,5200.0
2024-07-04 07:00:36.833,redmond,1-2,2776.0,5229.0
2024-07-04 07:00:36.861,redmond,1-2,2776.0,5257.0
2024-07-04 07:00:36.890,redmond,1-2,2776.0,5286.0
2024-07-04 07:00:36.920,redmond,1-2,2776.0,5316.0
2024-07-04 07:00:36.950,redmond,1-2,2776.0,5346.0
2024-07-04 07:00:36.980,redmond,1-2,2776.0,5376.0
2024-07-04 07:00:37.011,redmond,1-2,2776.0,5407.0
2024-07-04 07:00:37.040,redmond,1-2,2776.0,5436.0
2024-07-04 07:00:37.069,redmond,1-2,2776.0,5465.0
2024-07-04 07:00:37.099,redmond,1-2,2776.0,5495.0
2024-07-04 07:00:37.128,redmond,1-2,2776.0,5524.0
2024-07-04 07:00:37.157,redmond,1-2,2776.0,5553.0
2024-07-04 07:00:37.187,redmond,1-2,2776.0,5583.0
2024-07-04 07:00:37.216,redmond,1-2,2776.0,5612.0
2024-07-04 07:00:37.246,redmond,1-2,2776.0,5642.0
2024-07-04 07:00:37.276,redmond,1-2,2776.0,5672.0
2024-07-04 07:00:37.306,redmond,1-2,2776.0,5702.0
2024-07-04 07:00:37.336,redmond,1-2,2776.0,5732.0
2024-07-04 07:00:37.366,redmond,1-2,2776.0,5762.0
2024-07-04 07:00:37.397,redmond,1-2,2776.0,5793.0
2024-07-04 07:00:37.427,redmond,1-2,2776.0,5823.0
2024-07-04 07:00:37.457,redmond,1-2,2776.0,5853.0
2024-07-04 07:00:37.486,redmond,1-2,2776.0,5882.0
2024-07-04 07:00:37.515,redmond,1-2,2776.0,5911.0
2024-07-04 07:00:37.544,redmond,1-2,2776.0,5940.0
2024-07-04 07:00:37.573,redmond,1-2,2776.0,5969.0
2024-07-04 07:00:37.603,redmond,1-2,2776.0,5999.0
2024-07-04 07:00:37.634,redmond,1-2,2776.0,6030.0
2024-07-04 07:00:37.664,redmond,1-2,2776.0,6060.0
2024-07-04 07:00:37.694,redmond,1-2,2776.0,6090.0
2024-07-04 07:00:37.724,redmond,1-2,2776.0,6120.0
2024-07-04 07:00:37.754,redmond,1-2,2776.0,6150.0
2024-07-04 07:00:37.784,redmond,1-2,2776.0,6180.0
2024-07-04 07:00:37.813,redmond,1-2,2776.0,6209.0
2024-07-04 07:00:37.843,redmond,1-2,2776.0,6239.0
2024-07-04 07:00:37.873,redmond,1-2,2776.0,6269.0
2024-07-04 07:00:37.903,redmond,1-2,2776.0,6299.0
2024-07-04 07:00:37.933,redmond,1-2,2776.0,6329.0
2024-07-04 07:00:37.963,redmond,1-2,2776.0,6359.0
2024-07-04 07:00:37.993,redmond,1-2,2776.0,6389.0
2024-07-04 07:00:38.023,redmond,1-2,2776.0,6419.0
2024-07-04 07:00:38.053,redmond,1-2,2776.0,6449.0
2024-07-04 07:00:38.083,redmond,1-2,2776.0,6479.0
2024-07-04 07:00:38.113,redmond,1-2,2776.0,6509.0
2024-07-04 07:00:38.143,redmond,1-2,2776.0,6539.0
2024-07-04 07:00:38.173,redmond,1-2,2776.0,6569.0
2024-07-04 07:00:38.202,redmond,1-2,2776.0,6598.0
2024-07-04 07:00:38.232,redmond,1-2,2776.0,6628.0
2024-07-04 07:00:38.262,redmond,1-2,2776.0,6658.0
2024-07-04 07:00:38.293,redmond,1-2,2776.0,6689.0
2024-07-04 07:00:38.323,redmond,1-2,2776.0,6719.0
2024-07-04 07:00:38.353,redmond,1-2,2776.0,6749.0
2024-07-04 07:00:38.383,redmond,1-2,2776.0,6779.0
2024-07-04 07:00:38.412,redmond,1-2,2776.0,6808.0
2024-07-04 07:00:38.443,redmond,1-2,2776.0,6839.0
2024-07-04 07:00:38.473,redmond,1-2,2776.0,6869.0
2024-07-04 07:00:38.504,redmond,1-2,2776.0,6900.0
2024-07-04 07:00:38.533,redmond,1-2,2776.0,6929.0
2024-07-04 07:00:38.564,redmond,1-2,2776.0,6960.0
2024-07-04 07:00:38.594,redmond,1-2,2776.0,6990.0
2024-07-04 07:00:38.624,redmond,1-2,2776.0,7020.0
2024-07-04 07:00:38.654,redmond,1-2,2776.0,7050.0
2024-07-04 07:00:38.683,redmond,1-2,2776.0,7079.0
2024-07-04 07:00:38.713,redmond,1-2,2776.0,7109.0
2024-07-04 07:00:38.742,redmond,1-2,2776.0,7138.0
2024-07-04 07:00:38.772,redmond,1-2,2776.0,7168.0
2024-07-04 07:00:38.803,redmond,1-2,2776.0,7199.0
2024-07-04 07:00:38.834,redmond,1-2,2776.0,7230.0
2024-07-04 07:00:38.864,redmond,1-2,2776.0,7260.0
2024-07-04 07:00:38.894,redmond,1-2,2776.0,7290.0
2024-07-04 07:00:38.924,redmond,1-2,2776.0,7320.0
2024-07-04 07:00:38.955,redmond,1-2,2776.0,7351.0
2024-07-04 07:00:38.985,redmond,1-2,2776.0,7381.0
2024-07-04 07:00:39.015,redmond,1-2,2776.0,7411.0
2024-07-04 07:00:39.045,redmond,1-2,2776.0,7441.0
2024-07-04 07:00:39.074,redmond,1-2,2776.0,7470.0
2024-07-04 07:00:39.104,redmond,1-2,2776.0,7500.0
2024-07-04 07:00:39.134,redmond,1-2,2776.0,7530.0
