time,gst,sat,time_ms
2024-07-03 13:13:24.726,redmond,2.1.celestial,23.0
2024-07-03 13:16:55.855,redmond,1.1.celestial,211152.0
2024-07-03 13:21:26.851,redmond,0.1.celestial,482148.0
2024-07-03 13:25:51.756,redmond,21.1.celestial,747053.0
