time,op,req_t,host,time_ms
2024-07-03 16:34:43.532963,put,0.039322,2.1.celestial:8000,549.963
2024-07-03 16:34:43.565605,get,0.031566,2.1.celestial:8000,582.605
2024-07-03 16:34:43.607655,put,0.040966,2.1.celestial:8000,624.655
2024-07-03 16:34:43.651410,get,0.042155,2.1.celestial:8000,668.41
2024-07-03 16:34:44.598773,put,0.031065,2.1.celestial:8000,1615.773
2024-07-03 16:34:44.634025,get,0.034185,2.1.celestial:8000,1651.025
2024-07-03 16:34:45.599741,put,0.03105,2.1.celestial:8000,2616.741
2024-07-03 16:34:45.641378,get,0.040021,2.1.celestial:8000,2658.378
2024-07-03 16:34:46.588223,put,0.01854,2.1.celestial:8000,3605.223
2024-07-03 16:34:46.618058,get,0.028722,2.1.celestial:8000,3635.058
2024-07-03 16:34:47.605129,put,0.03474,2.1.celestial:8000,4622.129
2024-07-03 16:34:47.640382,get,0.034175,2.1.celestial:8000,4657.382
2024-07-03 16:34:48.599624,put,0.028918,2.1.celestial:8000,5616.624
2024-07-03 16:34:48.630443,get,0.029699,2.1.celestial:8000,5647.443
2024-07-03 16:34:49.589673,put,0.018907,2.1.celestial:8000,6606.673
2024-07-03 16:34:49.611217,get,0.020277,2.1.celestial:8000,6628.217
2024-07-03 16:34:50.599883,put,0.028149,2.1.celestial:8000,7616.883
2024-07-03 16:34:50.630873,get,0.027184,2.1.celestial:8000,7647.873
2024-07-03 16:34:51.600050,put,0.027795,2.1.celestial:8000,8617.05
2024-07-03 16:34:51.630011,get,0.028371,2.1.celestial:8000,8647.011
2024-07-03 16:34:52.590605,put,0.017276,2.1.celestial:8000,9607.605
2024-07-03 16:34:52.610652,get,0.016452,2.1.celestial:8000,9627.652
2024-07-03 16:34:53.590836,put,0.016783,2.1.celestial:8000,10607.836
2024-07-03 16:34:53.609429,get,0.0175,2.1.celestial:8000,10626.429
2024-07-03 16:34:54.592842,put,0.017894,2.1.celestial:8000,11609.842
2024-07-03 16:34:54.620430,get,0.026516,2.1.celestial:8000,11637.43
2024-07-03 16:34:55.593111,put,0.017231,2.1.celestial:8000,12610.111
2024-07-03 16:34:55.620596,get,0.026143,2.1.celestial:8000,12637.596
2024-07-03 16:34:56.592716,put,0.01664,2.1.celestial:8000,13609.716
2024-07-03 16:34:56.620216,get,0.026417,2.1.celestial:8000,13637.216
