time,op,req_t,host,time_ms
2024-07-03 16:09:24.566921,put,0.040269,2.1.celestial:8000,893.921
2024-07-03 16:09:24.609899,get,0.04187,2.1.celestial:8000,936.899
2024-07-03 16:09:24.646029,put,0.034885,2.1.celestial:8000,973.029
2024-07-03 16:09:24.677152,get,0.027624,2.1.celestial:8000,1004.152
2024-07-03 16:09:25.648588,put,0.037127,2.1.celestial:8000,1975.588
2024-07-03 16:09:25.692834,get,0.043131,2.1.celestial:8000,2019.834
2024-07-03 16:09:26.660731,put,0.048223,2.1.celestial:8000,2987.731
2024-07-03 16:09:26.714401,get,0.050155,2.1.celestial:8000,3041.401
2024-07-03 16:09:27.666899,put,0.054097,2.1.celestial:8000,3993.899
2024-07-03 16:09:27.700111,get,0.029624,2.1.celestial:8000,4027.111
2024-07-03 16:09:28.666969,put,0.053658,2.1.celestial:8000,4993.969
2024-07-03 16:09:28.701979,get,0.033927,2.1.celestial:8000,5028.979
2024-07-03 16:09:29.636480,put,0.021977,2.1.celestial:8000,5963.48
2024-07-03 16:09:29.679287,get,0.039363,2.1.celestial:8000,6006.287
2024-07-03 16:09:30.654688,put,0.040119,2.1.celestial:8000,6981.688
2024-07-03 16:09:30.690801,get,0.034806,2.1.celestial:8000,7017.801
2024-07-03 16:09:31.636002,put,0.020947,2.1.celestial:8000,7963.002
2024-07-03 16:09:31.683704,get,0.046515,2.1.celestial:8000,8010.704
2024-07-03 16:09:32.635251,put,0.019143,2.1.celestial:8000,8962.251
2024-07-03 16:09:32.656815,get,0.020384,2.1.celestial:8000,8983.815
2024-07-03 16:09:33.659738,put,0.042639,2.1.celestial:8000,9986.738
2024-07-03 16:09:33.678994,get,0.017934,2.1.celestial:8000,10005.994
2024-07-03 16:09:34.659474,put,0.041188,2.1.celestial:8000,10986.474
2024-07-03 16:09:34.701371,get,0.040625,2.1.celestial:8000,11028.371
2024-07-03 16:09:35.648503,put,0.029971,2.1.celestial:8000,11975.503
2024-07-03 16:09:35.685404,get,0.035628,2.1.celestial:8000,12012.404
2024-07-03 16:09:36.650443,put,0.031697,2.1.celestial:8000,12977.443
2024-07-03 16:09:36.669883,get,0.018319,2.1.celestial:8000,12996.883
2024-07-03 16:09:37.646687,put,0.027591,2.1.celestial:8000,13973.687
2024-07-03 16:09:37.677170,get,0.02669,2.1.celestial:8000,14004.17
2024-07-03 16:09:38.637461,put,0.018139,2.1.celestial:8000,14964.461
2024-07-03 16:09:38.656876,get,0.018314,2.1.celestial:8000,14983.876
2024-07-03 16:09:39.648615,put,0.028256,2.1.celestial:8000,15975.615
2024-07-03 16:09:39.680557,get,0.030559,2.1.celestial:8000,16007.557
2024-07-03 16:09:40.637914,put,0.017234,2.1.celestial:8000,16964.914
2024-07-03 16:09:40.657107,get,0.01822,2.1.celestial:8000,16984.107
2024-07-03 16:09:41.648856,put,0.027297,2.1.celestial:8000,17975.856
2024-07-03 16:09:41.668985,get,0.018897,2.1.celestial:8000,17995.985
2024-07-03 16:09:42.640199,put,0.017849,2.1.celestial:8000,18967.199
2024-07-03 16:09:42.672197,get,0.030875,2.1.celestial:8000,18999.197
2024-07-03 16:09:43.654728,put,0.031614,2.1.celestial:8000,19981.728
2024-07-03 16:09:43.686589,get,0.030755,2.1.celestial:8000,20013.589
2024-07-03 16:09:44.642052,put,0.018155,2.1.celestial:8000,20969.052
2024-07-03 16:09:44.671809,get,0.028568,2.1.celestial:8000,20998.809
2024-07-03 16:09:45.642421,put,0.018374,2.1.celestial:8000,21969.421
2024-07-03 16:09:45.661491,get,0.018004,2.1.celestial:8000,21988.491
2024-07-03 16:09:46.655123,put,0.030394,2.1.celestial:8000,22982.123
2024-07-03 16:09:46.675282,get,0.016406,2.1.celestial:8000,23002.282
2024-07-03 16:09:47.644747,put,0.018873,2.1.celestial:8000,23971.747
