time,op,req_t,host,time_ms
2024-07-04 07:00:31.841505,put,0.060102,2.1.celestial:8000,237.505
2024-07-04 07:00:31.878854,get,0.036221,2.1.celestial:8000,274.854
2024-07-04 07:00:31.909767,put,0.0293,2.1.celestial:8000,305.767
2024-07-04 07:00:31.941836,get,0.030986,2.1.celestial:8000,337.836
2024-07-04 07:00:32.914880,put,0.033462,2.1.celestial:8000,1310.88
2024-07-04 07:00:32.962507,get,0.046005,2.1.celestial:8000,1358.507
2024-07-04 07:00:33.921320,put,0.039602,2.1.celestial:8000,2317.32
2024-07-04 07:00:33.955901,get,0.033468,2.1.celestial:8000,2351.901
2024-07-04 07:00:34.902202,put,0.020049,2.1.celestial:8000,3298.202
2024-07-04 07:00:34.956065,get,0.05279,2.1.celestial:8000,3352.065
2024-07-04 07:00:35.923377,put,0.041114,2.1.celestial:8000,4319.377
2024-07-04 07:00:35.963661,get,0.039008,2.1.celestial:8000,4359.661
2024-07-04 07:00:36.933985,put,0.050847,2.1.celestial:8000,5329.985
2024-07-04 07:00:36.956287,get,0.021215,2.1.celestial:8000,5352.287
2024-07-04 07:00:37.903662,put,0.019952,2.1.celestial:8000,6299.662
2024-07-04 07:00:37.925357,get,0.020505,2.1.celestial:8000,6321.357
2024-07-04 07:00:38.904390,put,0.019673,2.1.celestial:8000,7300.39
2024-07-04 07:00:38.927045,get,0.021558,2.1.celestial:8000,7323.045
2024-07-04 07:00:39.914096,put,0.02875,2.1.celestial:8000,8310.096
2024-07-04 07:00:39.953236,get,0.038033,2.1.celestial:8000,8349.236
2024-07-04 07:00:40.924468,put,0.038808,2.1.celestial:8000,9320.468
2024-07-04 07:00:40.972924,get,0.047331,2.1.celestial:8000,9368.924
2024-07-04 07:00:41.913557,put,0.027465,2.1.celestial:8000,10309.557
2024-07-04 07:00:41.932650,get,0.01803,2.1.celestial:8000,10328.65
2024-07-04 07:00:42.906637,put,0.019629,2.1.celestial:8000,11302.637
2024-07-04 07:00:42.927130,get,0.01885,2.1.celestial:8000,11323.13
2024-07-04 07:00:43.904746,put,0.016987,2.1.celestial:8000,12300.746
2024-07-04 07:00:43.938382,get,0.032364,2.1.celestial:8000,12334.382
2024-07-04 07:00:44.906597,put,0.017723,2.1.celestial:8000,13302.597
2024-07-04 07:00:44.926503,get,0.018258,2.1.celestial:8000,13322.503
2024-07-04 07:00:45.907486,put,0.017576,2.1.celestial:8000,14303.486
2024-07-04 07:00:45.936304,get,0.027734,2.1.celestial:8000,14332.304
2024-07-04 07:00:46.920654,put,0.029959,2.1.celestial:8000,15316.654
2024-07-04 07:00:46.951213,get,0.029388,2.1.celestial:8000,15347.213
2024-07-04 07:00:47.921606,put,0.02954,2.1.celestial:8000,16317.606
2024-07-04 07:00:47.950724,get,0.02802,2.1.celestial:8000,16346.724
2024-07-04 07:00:48.914423,put,0.022082,2.1.celestial:8000,17310.423
2024-07-04 07:00:48.933142,get,0.017123,2.1.celestial:8000,17329.142
2024-07-04 07:00:49.910453,put,0.017913,2.1.celestial:8000,18306.453
2024-07-04 07:00:49.930013,get,0.018006,2.1.celestial:8000,18326.013
2024-07-04 07:00:50.917608,put,0.024256,2.1.celestial:8000,19313.608
2024-07-04 07:00:50.938129,get,0.019287,2.1.celestial:8000,19334.129
2024-07-04 07:00:51.957174,put,0.063728,2.1.celestial:8000,20353.174
2024-07-04 07:00:51.986945,get,0.028517,2.1.celestial:8000,20382.945
2024-07-04 07:00:52.923553,put,0.029296,2.1.celestial:8000,21319.553
2024-07-04 07:00:52.943099,get,0.018494,2.1.celestial:8000,21339.099
2024-07-04 07:00:53.923263,put,0.028729,2.1.celestial:8000,22319.263
2024-07-04 07:00:53.955850,get,0.031443,2.1.celestial:8000,22351.85
2024-07-04 07:00:54.924023,put,0.028722,2.1.celestial:8000,23320.023
2024-07-04 07:00:54.956608,get,0.03151,2.1.celestial:8000,23352.608
2024-07-04 07:00:55.926439,put,0.030025,2.1.celestial:8000,24322.439
2024-07-04 07:00:55.955138,get,0.02758,2.1.celestial:8000,24351.138
2024-07-04 07:00:56.914645,put,0.017086,2.1.celestial:8000,25310.645
2024-07-04 07:00:56.947750,get,0.031193,2.1.celestial:8000,25343.75
2024-07-04 07:00:57.927078,put,0.029131,2.1.celestial:8000,26323.078
2024-07-04 07:00:57.946478,get,0.018267,2.1.celestial:8000,26342.478
2024-07-04 07:00:58.916915,put,0.017903,2.1.celestial:8000,27312.915
2024-07-04 07:00:58.936815,get,0.018813,2.1.celestial:8000,27332.815
2024-07-04 07:00:59.915314,put,0.016239,2.1.celestial:8000,28311.314
2024-07-04 07:00:59.944662,get,0.028238,2.1.celestial:8000,28340.662
2024-07-04 07:01:00.919698,put,0.019587,2.1.celestial:8000,29315.698
2024-07-04 07:01:00.952420,get,0.031446,2.1.celestial:8000,29348.42
2024-07-04 07:01:01.929399,put,0.028561,2.1.celestial:8000,30325.399
2024-07-04 07:01:01.961373,get,0.030753,2.1.celestial:8000,30357.373
2024-07-04 07:01:02.933154,put,0.03225,2.1.celestial:8000,31329.154
2024-07-04 07:01:02.973248,get,0.039033,2.1.celestial:8000,31369.248
2024-07-04 07:01:03.937813,put,0.03629,2.1.celestial:8000,32333.813
2024-07-04 07:01:03.972013,get,0.033116,2.1.celestial:8000,32368.013
2024-07-04 07:01:04.919673,put,0.01723,2.1.celestial:8000,33315.673
2024-07-04 07:01:04.939753,get,0.01901,2.1.celestial:8000,33335.753
2024-07-04 07:01:05.930397,put,0.026799,2.1.celestial:8000,34326.397
