t,ground_station,satellite,distance
289,redmond,45,3229
290,redmond,45,3229
291,redmond,45,3229
292,redmond,45,3229
293,redmond,45,3229
294,redmond,45,3229
295,redmond,45,3229
296,redmond,45,3229
297,redmond,45,3229
298,redmond,45,3229
299,redmond,45,3229
300,redmond,45,3229
301,redmond,45,3229
302,redmond,45,3229
303,redmond,45,3229
304,redmond,45,3229
305,redmond,45,3229
306,redmond,45,3229
307,redmond,45,3229
308,redmond,1,2216
309,redmond,1,2216
310,redmond,1,2216
311,redmond,1,2216
312,redmond,1,2216
313,redmond,1,2216
314,redmond,1,2216
315,redmond,1,2216
316,redmond,1,2216
317,redmond,1,2216
318,redmond,1,2216
319,redmond,1,2216
320,redmond,1,2216
321,redmond,1,2216
322,redmond,1,2216
323,redmond,1,2216
324,redmond,1,2216
325,redmond,1,2216
326,redmond,1,2216
327,redmond,1,2216
328,redmond,1,2216
329,redmond,1,2216
330,redmond,1,2216
331,redmond,1,2216
332,redmond,1,2216
333,redmond,1,2216
334,redmond,1,2216
335,redmond,1,2216
336,redmond,1,2216
337,redmond,1,2216
338,redmond,1,2216
339,redmond,1,2216
340,redmond,1,2216
341,redmond,1,2216
342,redmond,1,2216
343,redmond,1,2216
344,redmond,1,2216
345,redmond,1,2216
346,redmond,1,2216
347,redmond,1,2216
348,redmond,1,2216
349,redmond,1,2216
350,redmond,1,2216
351,redmond,1,2216
352,redmond,1,2216
353,redmond,1,2216
354,redmond,1,2216
355,redmond,1,2216
356,redmond,1,2216
357,redmond,1,2216
358,redmond,1,2216
359,redmond,1,2216
360,redmond,1,2216
361,redmond,1,2216
362,redmond,1,2216
363,redmond,1,2216
364,redmond,1,2216
365,redmond,1,2216
366,redmond,1,2216
367,redmond,1,2216
368,redmond,1,2216
369,redmond,1,2216
370,redmond,1,2216
371,redmond,1,2216
372,redmond,1,2216
373,redmond,1,2216
374,redmond,1,2216
375,redmond,1,2216
376,redmond,1,2216
377,redmond,1,2216
378,redmond,1,2216
379,redmond,1,2216
380,redmond,1,2216
381,redmond,1,2216
382,redmond,1,2216
383,redmond,1,2216
384,redmond,1,2216
385,redmond,1,2216
386,redmond,1,2216
387,redmond,1,2216
388,redmond,1,2216
389,redmond,1,2216
390,redmond,1,2216
391,redmond,1,2216
392,redmond,1,2216
393,redmond,1,2216
394,redmond,1,2216
395,redmond,1,2216
396,redmond,1,2216
397,redmond,1,2216
398,redmond,1,2216
399,redmond,1,2216
400,redmond,1,2216
401,redmond,1,2216
402,redmond,1,2216
403,redmond,1,2216
404,redmond,1,2216
405,redmond,1,2216
406,redmond,1,2216
407,redmond,1,2216
408,redmond,1,2216
409,redmond,1,2216
410,redmond,1,2216
411,redmond,1,2216
412,redmond,1,2216
413,redmond,1,2216
414,redmond,1,2216
415,redmond,1,2216
416,redmond,1,2216
417,redmond,1,2216
418,redmond,1,2216
419,redmond,1,2216
420,redmond,1,2216
421,redmond,1,2216
422,redmond,1,2216
423,redmond,1,2216
424,redmond,1,2216
425,redmond,1,2216
426,redmond,1,2216
427,redmond,1,2216
428,redmond,1,2216
429,redmond,1,2216
430,redmond,1,2216
431,redmond,1,2216
432,redmond,1,2216
433,redmond,1,2216
434,redmond,1,2216
435,redmond,1,2721
436,redmond,1,2721
437,redmond,1,2721
438,redmond,1,2721
439,redmond,1,2721
440,redmond,1,2721
441,redmond,1,2721
442,redmond,1,2721
443,redmond,1,2721
444,redmond,1,2721
445,redmond,1,2721
446,redmond,1,2721
447,redmond,1,2721
448,redmond,1,2721
449,redmond,1,2721
450,redmond,1,2721
451,redmond,1,2721
452,redmond,1,2721
453,redmond,1,2721
454,redmond,1,2721
455,redmond,1,2721
456,redmond,1,2721
457,redmond,1,2721
458,redmond,1,2721
459,redmond,1,2721
460,redmond,1,2721
461,redmond,1,2721
462,redmond,1,2721
463,redmond,1,2721
464,redmond,1,3233
465,redmond,1,3233
466,redmond,1,3233
467,redmond,1,3233
468,redmond,1,3233
469,redmond,1,3233
470,redmond,1,3233
471,redmond,1,3233
472,redmond,1,3233
473,redmond,1,3233
474,redmond,1,3233
475,redmond,1,3233
476,redmond,1,3233
477,redmond,1,3233
478,redmond,1,3233
479,redmond,1,3233
480,redmond,1,3233
481,redmond,1,3233
482,redmond,1,3233
483,redmond,1,3233
484,redmond,1,3233
485,redmond,1,3233
486,redmond,1,3233
487,redmond,1,3233
488,redmond,1,3233
489,redmond,1,3233
490,redmond,1,3734
491,redmond,22,3229
492,redmond,22,3229
493,redmond,22,3229
494,redmond,22,3229
495,redmond,22,3229
496,redmond,22,3229
497,redmond,22,3229
498,redmond,22,3229
499,redmond,22,3229
500,redmond,22,3229
501,redmond,22,3229
502,redmond,22,3229
503,redmond,22,3229
504,redmond,22,3229
505,redmond,22,3229
506,redmond,22,3229
507,redmond,22,3229
508,redmond,22,3229
509,redmond,22,3229
510,redmond,22,3229
511,redmond,22,2720
512,redmond,22,2720
513,redmond,22,2720
514,redmond,22,2720
515,redmond,22,2720
516,redmond,22,2720
517,redmond,22,2720
518,redmond,22,2720
519,redmond,22,2720
520,redmond,22,2720
521,redmond,22,2720
522,redmond,22,2720
523,redmond,22,2720
524,redmond,22,2720
525,redmond,22,2720
526,redmond,22,2720
527,redmond,22,2720
528,redmond,22,2720
529,redmond,22,2720
530,redmond,22,2720
531,redmond,22,2720
532,redmond,22,2720
533,redmond,22,2720
534,redmond,22,2720
535,redmond,22,2720
536,redmond,22,2720
537,redmond,22,2720
538,redmond,22,2720
539,redmond,22,2720
540,redmond,22,2720
541,redmond,22,2720
542,redmond,22,2720
543,redmond,22,2720
544,redmond,22,2720
545,redmond,22,2720
546,redmond,22,2720
547,redmond,22,2720
548,redmond,22,2720
549,redmond,22,2720
550,redmond,22,2720
551,redmond,22,2720
552,redmond,22,2720
553,redmond,22,2720
554,redmond,22,2720
555,redmond,22,2720
556,redmond,22,2720
557,redmond,22,2720
558,redmond,22,2720
559,redmond,22,2720
560,redmond,22,2720
561,redmond,22,2720
562,redmond,22,2720
563,redmond,22,2720
564,redmond,22,2720
565,redmond,22,2720
566,redmond,22,2720
567,redmond,22,2720
568,redmond,22,2720
569,redmond,22,2720
570,redmond,22,2720
571,redmond,22,2218
572,redmond,22,2218
573,redmond,22,2218
574,redmond,22,2218
575,redmond,22,2218
576,redmond,22,2218
577,redmond,22,2218
578,redmond,22,2218
579,redmond,22,2218
580,redmond,22,2218
581,redmond,22,2218
582,redmond,22,2218
583,redmond,22,2218
584,redmond,22,2218
585,redmond,22,2218
586,redmond,22,2218
587,redmond,22,2218
588,redmond,22,2218
589,redmond,22,2218
590,redmond,22,2218
591,redmond,22,2218
592,redmond,22,2218
593,redmond,22,2218
594,redmond,22,2218
595,redmond,22,2218
596,redmond,22,2218
597,redmond,22,2218
598,redmond,22,2218
599,redmond,22,2218
600,redmond,22,2218
601,redmond,22,2218
602,redmond,22,2218
603,redmond,22,2218
604,redmond,22,2218
605,redmond,22,2218
606,redmond,22,2218
607,redmond,22,2218
608,redmond,22,2218
609,redmond,22,2218
610,redmond,22,2218
611,redmond,22,2218
612,redmond,22,2218
613,redmond,22,2218
614,redmond,22,2218
615,redmond,22,2218
616,redmond,22,2218
617,redmond,22,2218
618,redmond,22,2218
619,redmond,22,2218
620,redmond,22,2218
621,redmond,22,2218
622,redmond,22,2218
623,redmond,22,2218
624,redmond,22,2218
625,redmond,22,2218
626,redmond,22,2218
627,redmond,22,2218
628,redmond,22,2218
629,redmond,22,2218
630,redmond,22,2218
631,redmond,22,2218
632,redmond,22,2218
633,redmond,22,2218
634,redmond,22,2218
635,redmond,22,2218
636,redmond,22,2218
637,redmond,22,2218
638,redmond,22,2218
639,redmond,22,2218
640,redmond,22,2218
641,redmond,22,2218
642,redmond,22,2218
643,redmond,22,2218
644,redmond,22,2218
645,redmond,22,2218
646,redmond,22,2218
647,redmond,22,2731
648,redmond,22,2731
649,redmond,22,2731
650,redmond,22,2731
651,redmond,22,2731
652,redmond,22,2731
653,redmond,22,2731
654,redmond,22,2731
655,redmond,22,2731
656,redmond,22,2731
657,redmond,22,2731
658,redmond,22,2731
659,redmond,22,2731
660,redmond,22,2731
661,redmond,22,2731
662,redmond,22,2731
663,redmond,22,2731
664,redmond,22,2731
665,redmond,22,2731
666,redmond,22,2731
667,redmond,22,2731
668,redmond,22,2731
669,redmond,22,2731
670,redmond,22,2731
671,redmond,22,2731
672,redmond,22,2731
673,redmond,22,2731
674,redmond,22,2731
675,redmond,22,2731
676,redmond,22,2731
677,redmond,22,2731
678,redmond,22,2731
679,redmond,22,2731
680,redmond,0,2225
681,redmond,0,2225
682,redmond,0,2225
683,redmond,0,2225
684,redmond,0,2225
685,redmond,0,2225
686,redmond,0,2225
687,redmond,0,2225
688,redmond,0,2225
689,redmond,0,2225
690,redmond,0,2225
691,redmond,0,2225
692,redmond,0,2225
693,redmond,0,2225
694,redmond,0,2225
695,redmond,0,2225
696,redmond,0,2225
697,redmond,0,2225
698,redmond,0,2225
699,redmond,0,2225
700,redmond,0,2225
701,redmond,0,2225
702,redmond,0,2225
703,redmond,0,2225
704,redmond,0,2225
705,redmond,0,2225
706,redmond,0,2225
707,redmond,0,2225
708,redmond,0,2225
709,redmond,0,2728
710,redmond,0,2728
711,redmond,0,2728
712,redmond,0,2728
713,redmond,0,2728
714,redmond,0,2728
715,redmond,0,2728
716,redmond,0,2728
717,redmond,0,2728
718,redmond,0,2728
719,redmond,0,2728
720,redmond,0,2728
721,redmond,0,2728
722,redmond,0,2728
723,redmond,0,2728
724,redmond,0,2728
725,redmond,0,2728
726,redmond,0,2728
727,redmond,0,2728
728,redmond,0,2728
729,redmond,0,2728
730,redmond,0,2728
731,redmond,0,2728
732,redmond,0,2728
733,redmond,0,2728
734,redmond,0,2728
735,redmond,0,2728
736,redmond,0,2728
737,redmond,0,3232
738,redmond,0,3232
739,redmond,0,3232
740,redmond,0,3232
741,redmond,0,3232
742,redmond,0,3232
743,redmond,0,3232
744,redmond,0,3232
745,redmond,0,3232
746,redmond,0,3232
747,redmond,0,3232
748,redmond,0,3232
749,redmond,0,3232
750,redmond,0,3232
751,redmond,0,3232
752,redmond,0,3232
753,redmond,0,3232
754,redmond,0,3232
755,redmond,0,3232
756,redmond,0,3232
757,redmond,0,3232
758,redmond,0,3232
759,redmond,0,3232
760,redmond,0,3232
761,redmond,0,3232
762,redmond,0,3232
763,redmond,43,2713
764,redmond,43,2713
765,redmond,43,2713
766,redmond,43,2713
767,redmond,43,2713
768,redmond,43,2713
769,redmond,43,2713
770,redmond,43,2713
771,redmond,43,2713
772,redmond,43,2713
773,redmond,43,2713
774,redmond,43,2713
775,redmond,43,2713
776,redmond,43,2713
777,redmond,43,2713
778,redmond,43,2713
779,redmond,43,2713
780,redmond,43,2713
781,redmond,43,2713
782,redmond,43,2713
783,redmond,43,2713
784,redmond,43,2713
785,redmond,43,2713
786,redmond,43,2713
787,redmond,43,2713
788,redmond,43,2713
789,redmond,43,2713
790,redmond,43,2713
791,redmond,43,2713
792,redmond,43,2713
793,redmond,43,2713
794,redmond,43,2713
795,redmond,43,2713
796,redmond,43,2713
797,redmond,43,2713
798,redmond,43,2713
799,redmond,43,2713
800,redmond,43,2713
801,redmond,43,2713
802,redmond,43,2713
803,redmond,43,2713
804,redmond,43,2713
805,redmond,43,2713
806,redmond,43,2713
807,redmond,43,2713
808,redmond,43,2208
809,redmond,43,2208
810,redmond,43,2208
811,redmond,43,2208
812,redmond,43,2208
813,redmond,43,2208
814,redmond,43,2208
815,redmond,43,2208
816,redmond,43,2208
817,redmond,43,2208
818,redmond,43,2208
819,redmond,43,2208
820,redmond,43,2208
821,redmond,43,2208
822,redmond,43,2208
823,redmond,43,2208
824,redmond,43,2208
825,redmond,43,2208
826,redmond,43,2208
827,redmond,43,2208
828,redmond,43,2208
829,redmond,43,2208
830,redmond,43,2208
831,redmond,43,2208
832,redmond,43,2208
833,redmond,43,2208
834,redmond,43,2208
835,redmond,43,2208
836,redmond,43,2208
837,redmond,43,2208
838,redmond,43,2208
839,redmond,43,2208
840,redmond,43,2208
841,redmond,43,2208
842,redmond,43,2208
843,redmond,43,2208
844,redmond,43,2208
845,redmond,43,2208
846,redmond,43,2208
847,redmond,43,2208
848,redmond,43,2208
849,redmond,43,2208
850,redmond,43,2208
851,redmond,43,2208
852,redmond,43,2208
853,redmond,43,2208
854,redmond,43,2208
855,redmond,43,2208
856,redmond,43,2208
857,redmond,43,2208
858,redmond,43,2208
859,redmond,43,2208
860,redmond,43,2208
861,redmond,43,2208
862,redmond,43,2208
863,redmond,43,2208
864,redmond,43,2208
865,redmond,43,2208
866,redmond,43,2208
867,redmond,43,2208
868,redmond,43,2208
869,redmond,43,2208
870,redmond,43,2208
871,redmond,43,2208
872,redmond,43,2208
873,redmond,43,2208
874,redmond,43,2208
875,redmond,43,2208
876,redmond,43,2208
877,redmond,43,2208
878,redmond,43,2208
879,redmond,43,2208
880,redmond,43,2208
881,redmond,43,2208
882,redmond,43,2208
883,redmond,43,2208
884,redmond,43,2208
885,redmond,43,2208
886,redmond,43,2208
887,redmond,43,2208
888,redmond,43,2208
889,redmond,43,2208
890,redmond,43,2208
891,redmond,43,2208
892,redmond,43,2208
893,redmond,43,2208
894,redmond,43,2208
895,redmond,43,2208
896,redmond,43,2208
897,redmond,43,2208
898,redmond,43,2208
899,redmond,43,2208
900,redmond,43,2208
901,redmond,43,2208
902,redmond,43,2208
903,redmond,43,2208
904,redmond,43,2208
905,redmond,43,2711
906,redmond,43,2711
907,redmond,43,2711
908,redmond,43,2711
909,redmond,43,2711
910,redmond,43,2711
911,redmond,43,2711
912,redmond,43,2711
913,redmond,43,2711
914,redmond,43,2711
915,redmond,43,2711
916,redmond,43,2711
917,redmond,43,2711
918,redmond,43,2711
919,redmond,43,2711
920,redmond,43,2711
921,redmond,43,2711
922,redmond,43,2711
923,redmond,43,2711
924,redmond,43,2711
925,redmond,43,2711
926,redmond,43,2711
927,redmond,43,2711
928,redmond,43,2711
929,redmond,43,2711
930,redmond,43,2711
931,redmond,43,2711
932,redmond,43,2711
933,redmond,43,2711
934,redmond,43,2711
935,redmond,43,2711
936,redmond,21,2206
937,redmond,21,2206
938,redmond,21,2206
939,redmond,21,2206
940,redmond,21,2206
941,redmond,21,2206
942,redmond,21,2206
943,redmond,21,2206
944,redmond,21,2206
945,redmond,21,2206
946,redmond,21,2206
947,redmond,21,2206
948,redmond,21,2206
949,redmond,21,2206
950,redmond,21,2206
951,redmond,21,2206
952,redmond,21,2206
953,redmond,21,2206
954,redmond,21,2206
955,redmond,21,2206
956,redmond,21,2206
957,redmond,21,2206
958,redmond,21,2206
959,redmond,21,2206
960,redmond,21,2206
961,redmond,21,2206
962,redmond,21,2206
963,redmond,21,2206
964,redmond,21,2206
965,redmond,21,2721
966,redmond,21,2721
967,redmond,21,2721
968,redmond,21,2721
969,redmond,21,2721
970,redmond,21,2721
971,redmond,21,2721
972,redmond,21,2721
973,redmond,21,2721
974,redmond,21,2721
975,redmond,21,2721
976,redmond,21,2721
977,redmond,21,2721
978,redmond,21,2721
979,redmond,21,2721
980,redmond,21,2721
981,redmond,21,2721
982,redmond,21,2721
983,redmond,21,2721
984,redmond,21,2721
985,redmond,21,2721
986,redmond,21,2721
987,redmond,21,2721
988,redmond,21,2721
989,redmond,21,2721
990,redmond,21,2721
991,redmond,21,2721
992,redmond,21,2721
993,redmond,21,3229
994,redmond,21,3229
995,redmond,21,3229
996,redmond,21,3229
997,redmond,21,3229
998,redmond,21,3229
999,redmond,21,3229
1000,redmond,21,3229
